SPEC,COMM,CODE,TSN
SYNAPHOBRANCHUS KAUPI,GRAY'S CUTTHROAT EEL,602,NA
LYCENCHELYS VERRILLI,WOLF EELPOUT,603,NA
NEMICHTHYS SCOLOPACEUS,SNIPE EEL,604,NA
AMMODYTES DUBIUS,NORTHERN SAND LANCE,610,NA
SERRIVOMER BEANI,STOUT SAWPALATE,613,NA
GYMNELIS VIRIDIS,FISH DOCTOR,616,NA
LYCENCHELYS PAXILLUS,COMMON WOLF EEL,617,NA
LYCODES TERRAENOVA,"EELPOUT,NEWFOUNDLAND",619,NA
LYCODES LAVALAEI,LAVAL'S EELPOUT,620,NA
LUMPENUS LUMPRETAEFORMIS,SNAKE BLENNY,622,NA
LUMPENUS MACULATUS,DAUBED SHANNY,623,NA
ULVARIA SUBBIFURCATA,RADIATED SHANNY,625,NA
EUMESOGRAMMUS PRAECISUS,4-LINE SNAKE BLENNY,626,NA
LYCODES PALLIDUS,PALE EELPOUT,627,NA
CRYPTACANTHODES MACULATUS,WRYMOUTH,630,NA
LUMPENUS FABRICII,SLENDER EELBLENNY,631,NA
PHOLIS FASCIATA,BANDED GUNNEL,633,NA
FOETOREPUS AGASSIZI,SPOTFIN DRAGONET,637,NA
ZOARCES AMERICANUS,OCEAN POUT,640,NA
LYCODES RETICULATUS,ARCTIC EELPOUT,641,NA
LYCODES SP.,EELPOUTS(NS),642,NA
LYCODES ESMARKI,VACHON'S EELPOUT,643,NA
MELANOSTIGMA ATLANTICUM,ATLANTIC SOFT POUT,646,NA
LYCODES VAHLII,SHORTTAILED EELPOUT(VAHL),647,NA
OGCOCEPHALIDAE F.,BATFISHES,694,NA
APOGONIDAE F.,CARDINAL FISHES,697,NA
ARGYROPELECUS ACULEATUS,"HATCHETFISH, ATLANTIC SILVER",700,NA
PEPRILUS TRIACANTHUS,BUTTERFISH,701,NA
ZENOPSIS OCELLATA,AMERICAN JOHN DORY,704,NA
POLYIPNUS CLARUS,"HATCHETFISH,SLOPE",708,NA
NOTOLEPIS RISSOI,WHITE BARRACUDINA,712,NA
NOTACANTHUS CHEMNITZII,SPINY EEL,740,NA
STERNOPTYCHIDAE F.,UNIDENTIFIED HATCHETFISH,741,NA
DIBRANCHUS ATLANTICUS,ATLANTIC BATFISH,742,NA
POLYMIXIA NOBILIS,STOUT BEARD FISH,744,NA
STOMIAS SP.,DRAGONFISH UNIDENTIFIED,756,NA
POLYMIXIA LOWEI,BEARDFISH,771,NA
GRAMMICOLEPIS BRACHIUSCULUS,THORNY TINSELFISH,777,NA
BERYCIFORMES O.,BERYCOID FISH,802,NA
SYMPHURUS DIOMEDEANUS,TONGUE FISH,816,NA
MALACOSTEIDAE F.,LOOSEJAWS (NS),819,NA
PARALIPARIS CALIDUS,SEASNAIL,868,NA
PARALIPARIS GARMANI,SEASNAIL,869,NA
ARTEDIELLUS ATLANTICUS,"HOOKEAR SCULPIN,ATL.",880,NA
PHOCIDAE F.,SEALS (NS),900,NA
ECTREPOSEBASTES IMUS,ECTREPOSEBASTES IMUS,901,NA
FISH EGGS-UNIDENTIFIED,FISH EGGS-UNIDENTIFIED,1200,NA
RAJA EGGS,SKATE UNID. EGGS,1224,NA
MYOXOCEPHALUS EGGS,SCULPIN EGGS UNID.,1228,NA
BUCCINIDAE EGGS,WHELK EGGS (NS),1510,NA
TUNICATA S.P.,TUNICATA S.P.,1810,NA
BOLTENIA SP.,SEA POTATO,1823,NA
BRYOZOANS BRACHIOPODA P.,LAMPSHELLS,1930,NA
CRUSTACEA C.,CRUSTACEA C.,2000,NA
DECAPODA O.,SHRIMPS,2100,NA
PANDALIDAE F.,PANDALIDAE F.,2200,NA
PANDALUS SP.,PANDALUS SP.,2210,NA
PANDALUS BOREALIS,PANDALUS BOREALIS,2211,NA
PANDALUS MONTAGUI,PANDALUS MONTAGUI,2212,NA
ATLANTOPANDALUS PROPINQVUS,ATLANTOPANDALUS PROPINQUUS,2213,NA
PASIPHAEIDAE F.,PASIPHAEIDAE F.,2219,NA
PASIPHAEA TARDA,PASIPHAEA TARDA,2220,NA
PASIPHAEA MULTIDENTATA,PASIPHAEA MULTIDENTATA,2221,NA
SPIRONTOCARIS SP.,SPIRONTOCARIS,2310,NA
LEBBEUS POLARIS,LEBBEUS POLARIS,2312,NA
SPIRONTOCARIS LILJEBORGII,SPIRONTOCARIS LILJEBORGII,2313,NA
SPIRONTOCARIS SPINUS,SPIRONTOCARIS SPINUS,2316,NA
LEBBEUS GROENLANDICUS,LEBBEUS GROENLANDICUS,2319,NA
LEBBEUS SP.,LEBBEUS SP.,2320,NA
LEBBEUS ZEBRA,LEBBEUS ZEBRA,2321,NA
EUALUS FABRICII,EUALUS FABRICII,2332,NA
EUALUS GAIMARDII,EUALUS GAIMARDII,2333,NA
ARGIS SP.,ARGIS SP.,2410,NA
ARGIS DENTATA,ARGIS DENTATA,2411,NA
SCLEROCRANGON SP.,SCLEROCRANGON SP.,2413,NA
SCLEROCRANGON BOREAS,SCLEROCRANGON BOREAS,2414,NA
PONTOPHILUS NORVEGICUS,PONTOPHILUS NORVEGICUS,2415,NA
CRANGON SP.,CRANGON SP.,2416,NA
CRANGON SEPTEMSPINOSA,CRANGON SEPTEMSPINOSA,2417,NA
BRACHYURA S.,BRACHIURAN CRABS,2510,NA
CANCER BOREALIS,JONAH CRAB,2511,NA
CANCER IRRORATUS,ATLANTIC ROCK CRAB,2513,NA
HYAS SP.,"TOAD CRAB,UNIDENT.",2520,NA
HYAS COARCTATUS,HYAS COARCTATUS,2521,NA
CHIONOECETES SP. (OBSOLETE),"SPIDER/(QUEEN,SNOW)UNID",2522,NA
LITHODES MAJA,NORTHERN STONE CRAB,2523,NA
CHIONOECETES OPILIO,SNOW CRAB (QUEEN),2526,NA
HYAS ARANEUS,TOAD CRAB,2527,NA
NEOLITHODES GRIMALDII,PORCUPINE CRAB,2528,NA
CHACEON QUINQUEDENS,RED DEEPSEA CRAB,2532,NA
HOMARUS AMERICANUS,AMERICAN LOBSTER,2550,NA
MUNIDA IRIS,MUNIDA IRIS,2555,NA
MUNIDA VALIDA,MUNIDA VALIDA,2556,NA
PAGURIDAE F.,HERMIT CRABS,2559,NA
PAGUROIDEA S.F.,PAGUROIDEA S.F.,2560,NA
PAGURUS SP.,PAGURUS SP.,2561,NA
MUNIDOPSIS CURVIROSTRA,MUNIDOPSIS CURVIROSTRA,2566,NA
EUPHAUSIIDAE F.,EUPHAUSIIDAE F.,2610,NA
CTENOPHORA P.,COMB JELLIES,8100,NA
ANTHOZOA C.,SEA ANEMONE,8300,NA
PENNATULACEA,SEA PEN,8318,NA
PRIMNOA RESEDAEFORMIS,SEA CORN,8322,NA
PARAGORGIA ARBOREA,BUBBLE GUM CORAL,8323,NA
SCYPHOZOA C.,JELLYFISHES,8500,NA
PELAGIA NOCTILUCA,JELLYFISH,8520,NA
PORIFERA P.,SPONGES,8600,NA
UNIDENTIFIED,FIRST UNIDENTIFIED PER SET,9991,NA
UNIDENTIFIED,SECOND UNIDENTIFIED PER SET,9992,NA
UNIDENTIFIED A,UNIDENTIFIED SPECIES,1091,NA
UNIDENTIFIED B,UNIDENTIFIED SPECIES,1092,NA
UNIDENTIFIED C,UNIDENTIFIED SPECIES,1093,NA
UNIDENTIFIED D,UNIDENTIFIED SPECIES,1094,NA
STEREOMASTIS SCULPTA,STEREOMASTIS SCULPTA,1056,NA
MEGANYCTIPHANES NORVEGICA,Northern Krill,2611,NA
AMPHIPODA O.,AMPHIPODA O.,2800,NA
ANONYX SP.,ANONYX SP.,2833,NA
NYMPHON SP.,NYMPHON SP.,2893,NA
ISOPODA O.,RED ISOPOD,2980,NA
CIRRIPEDIA S.C.,BARNACLES,2990,NA
IDOTEA SP.,IDOTEA SP.,2996,NA
CALATHURA BRANCHIATA,ISOPOD,2999,NA
ANNELIDA P.,SEGMENTED WORMS,3000,NA
POLYCHAETA C.,BRISTLE WORMS,3100,NA
OWENIIDAE F.,OWENIIDAE F.,3194,NA
APHRODITA SP.,APHRODITA SP.,3212,NA
CHONE SP.,CHONE SP.,3221,NA
CARIDEA SO.,CARIDEA SO.,3240,NA
POLYNOIDAE F.,POLYNOIDAE F.,3500,NA
MOLLUSCA P.,MOLLUSCA P.,4000,NA
GASTROPODA O.,SNAILS AND SLUGS,4200,NA
BUCCINUM SP.,WHELKS,4210,NA
BUCCINUM UNDATUM,"WAVE WHELK,COMMON EDIBLE",4211,NA
EUSPIRA HEROS,NORTHERN MOONSNAIL,4221,NA
NEPTUNEA DECEMCOSTATA,NEW ENGLAND NEPTUNE,4227,NA
COLUS SP.,SPINDLE SHELL,4228,NA
APORRHAIS SP.,DUCK OR PELICAN FOOT,4230,NA
LITTORINIDAE F.,PERIWINKLES,4250,NA
AMAUROPSIS ISLANDICA,AMAUROPSIS ISLANDICA,4260,NA
BIVALVIA C.,BIVALVIA C.,4300,NA
ARCTICA ISLANDICA,OCEAN QUAHAUG,4304,NA
ASTARTE UNDATA,ASTARTE UNDATA,4307,NA
"PROTOBRANCHIA, HETERODONTA",CLAMS (NS),4310,NA
CYRTODARIA SILIQUA,BANK CLAM,4312,NA
ASTARTE SP.,ASTARTE SP.,4316,NA
HIATELLA ARCTICA,SOFT SHELL OR LONG NECK CLAM,4319,NA
PECTINIDAE F.,SCALLOPS,4320,NA
PLACOPECTEN MAGELLANICUS,SEA SCALLOP,4321,NA
CHLAMYS ISLANDICA,ICELAND SCALLOP,4322,NA
MYTILUS EDULIS,COMMON MUSSELS,4331,NA
MODIOLUS MODIOLUS,HORSE MUSSELS,4332,NA
SERRIPES GROENLANDICUS,GREENLAND COCKLE,4343,NA
VENERICARDIA BOREALIS,HEART SHELL,4344,NA
MACTROMERIS POLYNYMA,"STIMPSON'S SURF CLAM, ARCTIC SURF CLAM",4355,NA
NUDIBRANCHIA O.,SEA SLUGS,4400,NA
CEPHALOPODA C.,CEPHALOPODA C.,4500,NA
ILLEX ILLECEBROSUS,SHORT-FIN SQUID,4511,NA
LOLIGO PEALEII,"LONGFIN SQUID, LONGFIN INSHORE SQUID",4512,NA
"LOLIGINIDAE,OMMASTREPHIDAE F.",SQUID (NS),4514,NA
OCTOPODA O.,OCTOPUS,4521,NA
OCTOPODIDAE F.,OCTOPODIDAE F.,4529,NA
SEPIOLODAE F.,BOBTAIL SQUID,4536,NA
OCTOPOTEUTHIS SP.,OCTOPOTEUTHIS SP.,4562,NA
POLYPLACOPHORA C.,CHITONS,4700,NA
PYCNOGONIDA S.P.,SEA SPIDER,5100,NA
ASTEROIDEA S.C.,ASTEROIDEA S.C.,6100,NA
ASTERIAS SP.,ASTERIAS SP.,6110,NA
ASTERIAS RUBENS,ASTERIAS RUBENS,6111,NA
LEPTASTERIAS POLARIS,LEPTASTERIAS POLARIS,6113,NA
CTENODISCUS CRISPATUS,MUD STAR,6115,NA
HIPPASTERIA PHRYGIANA,HIPPASTERIA PHRYGIANA,6117,NA
HENRICIA SANGUINOLENTA,BLOOD STAR,6119,NA
SOLASTER ENDECA,PURPLE SUNSTAR,6121,NA
CROSSASTER PAPPOSUS,SPINY SUNSTAR,6123,NA
PTERASTER MILITARIS,PTERASTER MILITARIS,6125,NA
PORANIOMORPHA BOREALIS,PORANIOMORPHA BOREALIS,6130,NA
DIPLOPTERASTER MULTIPES,DIPLOPTERASTER MULTIPES,6131,NA
OPHIUROIDEA S.C.,BRITTLE STAR,6200,NA
OPHIOPHOLIS ACULEATA,DAISY,6211,NA
OPHIURA SP.,OPHIURA SP.,6212,NA
"GORGONOCEPHALIDAE,ASTERONYCHIDAE F.",BASKET STARS,6300,NA
GORGONOCEPHALUS SP.,GORGONOCEPHALUS SP.,6310,NA
STRONGYLOCENTROTUS SP.,SEA URCHINS,6400,NA
STRONGYLOCENTROTUS DROEBACHIENSIS,SEA URCHIN (GREEN),6411,NA
BRISASTER FRAGILIS,HEART URCHIN,6413,NA
ARBACIA PUNCTULATA,PURPLE-SPINED SEA URCHIN,6421,NA
CLYPEASTEROIDA O.,SAND DOLLARS,6500,NA
ECHINARACHNIUS PARMA,ECHINARACHNIUS PARMA,6511,NA
HOLOTHUROIDEA C.,HOLOTHUROIDEA C.,6600,NA
CUCUMARIA FRONDOSA,SEA CUCUMBER (COMMON),6611,NA
PSOLUS FABRICII,SCARLETT PSOLUS,6713,NA
PSOLUS PHANTAPUS,PSOLUS PHANTAPUS,6715,NA
CAUDINA ARENATA,CAUDINA ARENATA,6717,NA
GADUS MORHUA,COD(ATLANTIC),10,NA
MELANOGRAMMUS AEGLEFINUS,HADDOCK,11,NA
UROPHYCIS TENUIS,WHITE HAKE,12,NA
UROPHYCIS CHUSS,SQUIRREL OR RED HAKE,13,NA
MERLUCCIUS BILINEARIS,SILVER HAKE,14,NA
BROSME BROSME,CUSK,15,NA
POLLACHIUS VIRENS,POLLOCK,16,NA
MERLUCCIUS ALBIDUS,OFF-SHORE HAKE,19,NA
SEBASTES SP.,REDFISH UNSEPARATED,23,NA
HIPPOGLOSSUS HIPPOGLOSSUS,HALIBUT(ATLANTIC),30,NA
REINHARDTIUS HIPPOGLOSSOIDES,"TURBOT,GREENLAND HALIBUT",31,NA
CHIASMODON NIGER,BLACK SWALLOWER,39,NA
HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE,40,NA
GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER,41,NA
LIMANDA FERRUGINEA,YELLOWTAIL FLOUNDER,42,NA
PSEUDOPLEURONECTES AMERICANUS,WINTER FLOUNDER,43,NA
CITHARICHTHYS ARCTIFRONS,GULF STREAM FLOUNDER,44,NA
PLEURONECTIDAE F.,FLOUNDER UNIDENTIFIED,49,NA
ANARHICHAS LUPUS,STRIPED ATLANTIC WOLFFISH,50,NA
ANARHICHAS MINOR,SPOTTED WOLFFISH,51,NA
ANARHICHAS DENTICULATUS,NORTHERN WOLFFISH,52,NA
CLUPEA HARENGUS,HERRING(ATLANTIC),60,NA
ALOSA SAPIDISSIMA,SHAD AMERICAN,61,NA
ALOSA PSEUDOHARENGUS,ALEWIFE,62,NA
OSMERUS MORDAX,RAINBOW SMELT,63,NA
MALLOTUS VILLOSUS,CAPELIN,64,NA
SCOMBER SCOMBRUS,MACKEREL(ATLANTIC),70,NA
"UNID. FISH (LARVAE,JUVENILE AND ADULTS)",UNID. FISH,90,NA
FINFISHES (NS),FINFISHES (NS),100,NA
STENOTOMUS CHRYSOPS,SCUP,102,NA
UROPHYCIS REGIA,SPOTTED HAKE,111,NA
UROPHYCIS CHESTERI,LONGFIN HAKE,112,NA
ANTIMORA ROSTRATA,BLUE ANTIMORA/HAKE,113,NA
ENCHELYOPUS CIMBRIUS,FOURBEARD ROCKLING,114,NA
GAIDROPSARUS ENSIS,THREEBEARD ROCKLING,115,NA
TAUTOGOLABRUS ADSPERSUS,CUNNER,122,NA
HELICOLENUS DACTYLOPTERUS,ROSEFISH(BLACK BELLY),123,NA
HIPPOGLOSSINA OBLONGA,FOURSPOT FLOUNDER,142,NA
SCOPHTHALMUS AQUOSUS,BRILL/WINDOWPANE,143,NA
PARASUDIS TRUCULENTA,LONGNOSE GREENEYE,149,NA
MYCTOPHIDAE,LANTERNFISH (NS),150,NA
CHLOROPHTHALMUS AGASSIZI,SHORT-NOSE GREENEYE,156,NA
MAUROLICUS MUELLERI,MUELLER'S PEARLSIDES,158,NA
STOMIAS BOA,BOA DRAGONFISH,159,NA
ARGENTINA SILUS,ARGENTINE(ATLANTIC),160,NA
CERATOSCOPELUS MADERENSIS,"LANTERNFISH,HORNED",163,NA
ALOSA AESTIVALIS,BLUEBACK HERRING,165,NA
CHAULIODUS SLOANI,VIPERFISH,169,NA
BATHYLAGUS EURYOPS,GOITRE BLACKSMELT,176,NA
BOTHIDAE F.,LEFTEYE FLOUNDER,196,NA
DIPTURUS LAEVIS,BARNDOOR SKATE,200,NA
AMBLYRAJA RADIATA,THORNY SKATE,201,NA
MALACORAJA SENTA,SMOOTH SKATE,202,NA
LEUCORAJA ERINACEA,LITTLE SKATE,203,NA
LEUCORAJA OCELLATA,WINTER SKATE,204,NA
BATHYRAJA SPINICAUDA,SPINYTAIL SKATE,205,NA
RAJELLA FYLLAE,ROUND SKATE,207,NA
RAJIDAE F.,SKATES (NS),211,NA
TORPEDO NOBILIANA,ATLANTIC TORPEDO,216,NA
SQUALUS ACANTHIAS,SPINY DOGFISH,220,NA
CENTROSCYLLIUM FABRICII,BLACK DOGFISH,221,NA
PETROMYZON MARINUS,SEA LAMPREY,240,NA
MYXINE GLUTINOSA,NORTHERN HAGFISH,241,NA
CLUPEIDAE/OSMERIDAE F.,HERRING/CAPELIN LIKE,290,NA
MYOXOCEPHALUS OCTODECEMSPINOSUS,LONGHORN SCULPIN,300,NA
MYOXOCEPHALUS SCORPIUS,SHORTHORN SCULPIN,301,NA
GYMNOCANTHUS TRICUSPIS,ARCTIC STAGHORN SCULPIN,302,NA
MYOXOCEPHALUS AENAEUS,GRUBBY OR LITTLE SCULPIN,303,NA
TRIGLOPS MURRAYI,MAILED SCULPIN,304,NA
ARTEDIELLUS UNCINATUS,SNOWFLAKE HOOKEAR SCULPIN,306,NA
COTTUNCULUS MICROPS,POLAR SCULPIN,307,NA
ICELUS BICORNIS,TWOHORN SCULPIN,313,NA
ICELUS SPATULA,SPATULATE SCULPIN,314,NA
MYOXOCEPHALUS SCORPIOIDES,ARCTIC SCULPIN,316,NA
HEMITRIPTERUS AMERICANUS,SEA RAVEN,320,NA
ARTEDIELLUS SP.,HOOKEAR SCULPIN (NS),323,NA
ASPIDOPHOROIDES MONOPTERYGIUS,ALLIGATORFISH,340,NA
PLEURONECTIFORMES O.,FLATFISH,346,NA
LEPTAGONUS DECAGONUS,ATLANTIC SEA POACHER,350,NA
AGONIDAE F.,ALLIGATOR FISH (NS),351,NA
GASTEROSTEUS ACULEATUS,THREESPINE STICKLEBACK,361,NA
LOPHIUS AMERICANUS,"MONKFISH,GOOSEFISH,ANGLER",400,NA
NEZUMIA BAIRDII,MARLIN-SPIKE GRENADIER,410,NA
TRACHYRINCUS MURRAYI,ROUGHNOSE GRENADIER,412,NA
CORYPHAENOIDES RUPESTRIS,ROUNDNOSE GRENADIER,414,NA
MACROURIDAE F.,GRENADIERS (NS),416,NA
LIPARIS SP.,SEASNAIL UNIDENTIFIED,500,NA
CYCLOPTERUS LUMPUS,LUMPFISH,501,NA
EUMICROTREMUS SPINOSUS,ATLANTIC SPINY LUMPSUCKER,502,NA
LIPARIS ATLANTICUS,ATLANTIC SEASNAIL,503,NA
LIPARIS FABRICII,"SEASNAIL,GELATINOUS",505,NA
LIPARIS TUNICATUS,GREENLAND SEASNAIL,506,NA
LIPARIS INQUILINUS,INQUILINE SEASNAIL,508,NA
PARALIPARIS COPEI,BLACKSNOUT SEASNAIL,511,NA
LIPARIS GIBBUS,"SEASNAIL,DUSKY",512,NA
LIPARIS COHENI,GULF SEA SNAIL,513,NA
CYCLOPTERIDAE F.,"LUMPFISHES,SEASNAILS (NS)",514,NA
CAREPROCTUS  SP.,SEA TADPOLE(NS),515,NA
CAREPROCTUS REINHARDTI,SEA TADPOLE,520,NA
ZOARCIDAE F.,EELPOUTS (NS),598,NA
SIMENCHELYS PARASITICA,"SNUBNOSE EEL, SLIME EEL",601,NA
GEODIA SPP.,GEODIA SPP.,8364,NA
ACANTHOGORGIA ARMATA,ACANTHOGORGIA ARMATA,8326,NA
KERATOISIS ORNATA,GOLD-BANDED/BAMBOO CORAL,8325,NA
ACANELLA ARBUSCULA,ACANELLA ARBUSCULA,8329,NA
SEA CORALS (NS),SEA CORALS (NS),8530,NA
ANTHOZOA,CORAL (NS),8332,NA
GERSEMIA RUBIFORMIS,"SEA CAULIFLOWER, STRAWBERRIES",8324,NA
SOFT CORAL UNIDENTIFIED,SOFT CORAL UNIDENTIFIED,8327,NA
RADICIPES GRACILIS,RADICIPES GRACILIS,8330,NA
FLABELLUM SP,CUP CORAL,8335,NA
ECHINUS SP.,ECHINUS SP.,8340,NA
HETROPODIDAE,STAGHORN BRYOZOA,8344,NA
THYONELLA AFF. PERVICAX,SEA CUCUMBER,8345,NA
PSEUDARCHASTER PARELII,PSEUDARCHASTER PARELII,8346,NA
PSILASTER ANDROMEDA,PSILASTER ANDROMEDA,8347,NA
LEPTYCHASTER ARCTICUS,LEPTYCHASTER ARCTICUS,8348,NA
LOPHASTER FURCIFER,LOPHASTER FURCIFER,8349,NA
SYSCENUS INFELIX,SYSCENUS INFELIX,8352,NA
ACANTHEPHYRA PELAGICA,ACANTHEPHYRA PELAGICA,8353,NA
SERGIA SP.,SERGIA SP.,8354,NA
"OCTOPODA, CIRRATA",DEEP SEA FINNED OCTOPUS,8355,NA
RHIZAXINELLA SP.,RHIZAXINELLA SP.,8356,NA
GORGONOCEPHALUS LAMARCKI,GORGONOCEPHALUS LAMARCKI,8357,NA
EUSIRUS CUSPIDATUS,EUSIRUS CUSPIDATUS,8358,NA
FUNICULINA QUADRANGULARIS,FUNICULINA QUADRANGULARIS,8359,NA
PENNATULA GRANDIS (BOREALIS),PENNATULA GRANDIS (BOREALIS),8360,NA
ANTHOPTILUM GRANDIFLORUM,ANTHOPTILUM GRANDIFLORUM,8361,NA
FLABELLUM ALABASTRUM,FLABELLUM ALABASTRUM,8362,NA
HALIPTERUS (BALTICINA) SP.,HALIPTERUS (BALTICINA) SP.,8363,NA
VAZELLA POURTALESI,RUSSIAN HATS,8601,NA
PURSE THORNY SKATE,PURSE THORNY SKATE,1201,NA
PURSE SMOOTH SKATE,PURSE SMOOTH SKATE,1202,NA
PURSE LITTLE SKATE,PURSE LITTLE SKATE,1203,NA
PURSE WINTER SKATE,PURSE WINTER SKATE,1204,NA
HENRICA SP.,HENRICA SP,6120,NA
NATICIDAE F.,MOON SNAIL UNSP,4220,NA
