,SVSPP,DCF_WT,DCF_NUM,GCF_WT,GCF_NUM,VCF_WT,VCF_NUM
1,73,1.62,1.56,1,1,0.67,0.79
2,32,1,1,1,1,0.54,0.59
3,851,1,1,1,1,1,1
4,121,1,1,1,1,1,1
5,22,1,1,1,1,1,1
6,141,1,1,1,1,1,1
7,135,1,1,1,1,1,1
8,131,1,1,1.35,1,1,1
9,311,1,1,3.59,5.72,1,1
10,176,1,1,1,1,0.51,0.56
11,194,1,1,1,1,1,0.63
12,83,1,1,1,1,1,1
13,104,1,1,1.48,1.63,0.84,0.85
14,197,1,1,3.35,2.45,1,0.83
15,109,1,0.66,1,1,0.6,0.7
16,74,1.51,1.49,1,1,0.79,0.82
17,318,1,1,1,1,1.91,1.66
18,312,1,1,1,1,0.31,0.34
19,322,1,1,1,1,1,1
20,26,1.22,1.21,4.14,3.98,0.81,0.83
21,503,1.24,1,1,1,0.85,0.83
22,163,1.39,1.44,1.34,1.61,0.77,0.82
23,161,1,1.67,1,1,1.67,1
24,171,1,1,1,1,1,1
25,193,1,1,1,1,0.69,0.7
26,75,2.9,2.21,1,1,1,1
27,77,1.26,1.31,1,1,0.79,1
28,155,1,1,1,1,1,1
29,31,1,1,1,1,1,1
30,181,1,1,1,1,1,0.5
31,143,1,1,1,1,1,1
32,164,1,1,1.25,1.28,1,1
33,401,1,1.39,1,1,1,1.22
34,502,1,1,1,1,0.71,0.64
35,305,1,1,1,1,1,1
36,72,1,1,1.61,2.36,1,1
37,13,1,1,1,1,1,1
38,27,1.79,1.65,1,1,1,1
39,15,1,1,1.45,1.4,0.81,0.79
40,78,1,1,1,1,1,1
41,103,1,1,1.31,1.23,1,1
42,28,1,1,1,1,1,1
43,76,1,1,1,1,1,1
44,108,1.67,1.54,1.37,1.67,0.8,0.82
45,106,1.39,1.46,1.86,2.02,1,1
46,23,1.36,1,1,1,0.74,0.82
47,105,1.28,1.22,1.73,1.76,0.85,0.85
48,107,1,1,1,1,1,1
49,84,1,1,1,1,1,0.66
50,313,1,1,1,1,1,0.58
51,301,1,1,2.72,2.66,1,1
52,33,1,1,1,1,0.58,1
53,102,1,1,1,1,0.69,0.82