vessel_name,vessel_abbrev,country_of_origin,home_port,agency_name,length_overall_ft,construction,year_built
"ABEL-J","AJ",,,,,,
"ACTIVE","AC",,,,,,
"ACUSHNET","AH",,,,,,
"ADVANCE II","AV",,,,,,
"ADVENTUROUS","AU",,,,,,
"ALASKAN SEAHORSE","AK",,,,,,
"ALBATROS","AB",,,,,,
"ALBATROSS III","A3",,,,,,
"ALBATROSS IV","AL","USA","Woods Hole, MA","NMFS-NEFSC",176,,"1963"
"ALERT","AE",,,,,,
"ALFERAS","AF",,,,,,
"ALIOT","AI",,,,,,
"ALLEGIANCE","AG",,,,,,
"ANNANDALE","AN",,,,,,
"ANTELOPE/ANDERSON","ANT",,,,,,
"ANTONDOHRN","AD",,,,,,
"ARCISZEWSKI","AZ",,,,,,
"ARGO MAINE","AM",,,,,,
"ARGUS","AR",,,,,,
"ASTERIAS","AS",,,,,,
"ATLANT","A7",,,,,,
"ATLANTIC STAR","AST",,,,,,
"ATLANTIC TWIN","AT",,,,,,
"ATLANTIS","AA",,,,,,
"BAY STATE","BA",,,,,,
"BELOGORSK","BG",,,,,,
"BLESK","BL",,,,,,
"BLUEBACK","BB",,,,,,
"BLUENOSE","BN",,,,,,
"BOGUSLAV","BO",,,,,,
"C.S.S.  HUDSON","HD",,,,,,
"C.S.S. PARIZEAU","PU","CANADA","NOVA SCOTIA","BEDFORD INSTITUTE",,,
"CAMERON","CA",,,,,,
"CANSO CONDOR","CC",,,,,,
"CAP'N BILL IV","C4",,,,,,
"CAP'T BERT","CBT",,,,,,
"CAPE HATTERAS","CP",,,,,,
"CAPE HENLOPEN","CO",,,,,,
"CAPEMAY","CM",,,,,,
"CAPTAIN BILL II","C2",,,,,,
"CAPTAIN BILL III","C3",,,,,,
"CARIBOU REEFER","CU",,,,,,
"CARYN","CR",,,,,,
"CELTIC","CE",,,,,,
"CGC  EASTWIND","EW",,,,,,
"CGC EVERGREEN","EG",,,,,,
"CHAIN","CHA",,,,,,
"CHALLENGE","CG",,,,,,
"CHAPMAN","CH",,,,,,
"CHARLOTTE","CT",,,,,,
"CHASE","CHS",,,,,,
"CHEROKEE","CK",,,,,,
"CHILULA","CHI",,,,,,
"CHRISTIAN + ALEXA","CX",,,,,,
"CLEARVIEW IV","CLR",,,,,,
"CLUPEA","CL",,,,,,
"COLUMBUS ISELIN","CB",,,,,,
"CONNECTICUT","C1",,,,,,
"CONRAD","CN",,,,,,
"CORA MAY SNOW","CS",,,,,,
"CORVA","CV",,,,,,
"CRAWFORD","CW",,,,,,
"CRUSADER","CD",,,,,,
"CRYOS","CY",,,,,,
"DALLAS","DA",,,,,,
"DARTMOUTH","DT",,,,,,
"DAVID & KATY","DK",,,,,,
"DECISIVE","DC",,,,,,
"DELAWARE","D1",,,,,,
"DELAWARE II","DE",,,,,,
"DELTA ARGENTINA","DG",,,,,,
"DELTA EQUADOR","DQ",,,,,,
"DELTA MAR","DL",,,,,,
"DELTA NORTE","DN",,,,,,
"DELTA ORO","DO",,,,,,
"DELTA SUD","DS",,,,,,
"DIANE","DI",,,,,,
"DIANE MARIA","DM",,,,,,
"DISCOVERER","DV",,,,,,
"DOLPHIN","DP",,,,,,
"DRAKE","DRAK",,,,,,
"DUANE","DW",,,,,,
"DUCHESS","DU",,,,,,
"DURABLE","DX",,,,,,
"EAGLE EYE II","EY","USA","Florida","Contract vessel",,,"1994"
"EASTWARD","EA",,,,,,
"EDGAR M QUEENY","QU",,,,,,
"EDINGURGH","EU",,,,,,
"EDWIN LINK","EL",,,,,,
"EE PRINCE","EE",,,,,,
"EILEEN MARIE","EM",,,,,,
"EISBAR","EI",,,,,,
"EKLIPTIKA","EK",,,,,,
"EMPIRE STATE","ES",,,,,,
"ENDEAVOR","EN",,,,,,
"ENDURANCE","ER",,,,,,
"ERNST HAECKEL","EH",,,,,,
"ESS PURSUIT","EP",,,,,,
"EVRIKA","EV",,,,,,
"EXPORT BUILDER","EB",,,,,,
"EXPORT DEFENDER","ED",,,,,,
"F/V JOCKA","JK","USA","CUNDY'S HARBOR, ME",,67,"FIBERGLASS",
"F/V LADY JANE","LE","USA","GLOUCESTER, MA",,76,"STEEL",
"F/V LISA ANN II","L2","USA","NEWBURYPORT, MA",,57,"STEEL","2003"
"F/V TITAN","TO","USA","PORTLAND, ME",,66,"STEEL",
"FISH HAWK","FH",,,,,,
"FRANCIS ELIZABETH","FE",,,,,,
"FRANCIS GERALDINE","FG",,,,,,
"G. W. PIERCE","GW",,,,,,
"GAIL SNOW","GS",,,,,,
"GALATEA","GA",,,,,,
"GALLATIN","GL",,,,,,
"GATE","GT",,,,,,
"GEORGE M BOWERS","GB",,,,,,
"GERONIMO","GE",,,,,,
"GLORIA MICHELLE","GM",,,,,,
"GODAFOSS","GF",,,,,,
"GOERLITZ","GZ",,,,,,
"GOOD NEWS","GN",,,,,,
"GORDON GUNTER","GG","USA","Pascagoula, MS","NOAA",,,"1989"
"GOSNOLD","GO",,,,,,
"GUIDANCE","GD",,,,,,
"GULF SKIPPER","GU",,,,,,
"GYRE","GY",,,,,,
"HAECKEL","HC",,,,,,
"HAMILTON","HN",,,,,,
"HARENGUS","HA",,,,,,
"HAROLD F. SNOW","HS",,,,,,
"HEATHER LYNN","HL",,,,,,
"HELGOLAND","HE",,,,,,
"HENRY B. BIGELOW","HB","USA","NEWPORT, RI","NOAA FISHERIES",215,"STEEL","2006"
"HERA","HR","USA","NEW BEDFORD",,78,,"1989"
"HUCKLEBERRY FINN","HF",,,,,,
"HUGH R. SHARP","S1","USA","LEWES, DE",,146,,"2005"
"INGHAM","IG",,,,,,
"IRON HORSE","IH",,,,,,
"ISABEL-S","IS",,,,,,
"J. B. JUNIOR","JU",,,,,,
"JACQUELYN","JQ",,,,,,
"JANE R","JR",,,,,,
"JEANNE D'ARC","JD",,,,,,
"JO-ANN","JA",,,,,,
"JOHN M COBB","JC",,,,,,
"JOSEPH & LUCIA III","JL",,,,,,
"JUDY B","JB",,,,,,
"KAIYO-MARU","KM",,,,,,
"KANARYJKA","KN",,,,,,
"KAREN ELIZABETH","KE","USA","PT. JUDITH",,80,,"1983"
"KATAHDIN","KT",,,,,,
"KELEZ","KZ",,,,,,
"KHRONOMETER","KH",,,,,,
"KNIAZIK","KK",,,,,,
"KNORR","KO",,,,,,
"KUBLN","KB",,,,,,
"KUNATKA","KU",,,,,,
"KVANT","KV",,,,,,
"KYMA","KY",,,,,,
"LADY HAMMOND","LH",,,,,,
"LASH ATLANTICO","LA",,,,,,
"LASH TURKIYE","LT",,,,,,
"LINNEA","LN",,,,,,
"LISA KIM","LK",,,,,,
"LUCILLE B.","LB",,,,,,
"LULU","LL",,,,,,
"LUTJAN","LJ",,,,,,
"MABEL SUSAN","MS",,,,,,
"MARGARET & NANCY","MN",,,,,,
"MARIA COSTA","MA",,,,,,
"MARINE CRUISER","MR",,,,,,
"MARINE EVANGELINE","MV",,,,,,
"MARION C","MC",,,,,,
"MARY ELENA","M2",,,,,,
"MARY K","MAK",,,,,,
"MARY K - goosefish","MB",,,,,,
"MARY KELLY","MK",,,,,,
"MAYAGUEZ","MY",,,,,,
"MERGANSER","MG",,,,,,
"METACOMET","ME",,,,,,
"MICHAEL STARR JORDAN","MJ",,,,,,
"MICHIGAN","MI",,,,,,
"MILLER FREEMAN","MF",,,,,,
"MISS SANDY","SN",,,,,,
"MORAGH K","M3",,,,,,
"MORGANTHAU","MO",,,,,,
"MORMAC ARGO","MAR",,,,,,
"MORMAC LAKE","ML",,,,,,
"MORMAC RIGEL","MRI",,,,,,
"MORMAC TRADE","MT",,,,,,
"MT MITCHELL","MM",,,,,,
"Miss Emily","M4","USA","Scituate, MA",,55,,
"NEKTON GAMMA","NE",,,,,,
"NOAH A","NA",,,,,,
"NOBSKA","NS","USA",,,,,
"NOGLIKI","NG",,,,,,
"NORDIC PRIDE","NP",,,,,,
"OCEAN PRIDE","OP",,,,,,
"OCEAN PRINCE","OPC",,,,,,
"OCEANOGRAPHER","OE",,,,,,
"OCEANUS","OC",,,,,,
"OREGON II","OR",,,,,,
"P. B. CYGNUS","CI",,,,,,
"P. LANGEVIN","PL",,,,,,
"PANTHER","PT",,,,,,
"PATTY JEAN","PJ",,,,,,
"PEIXI","PX",,,,,,
"PELICAN","PE",,,,,,
"PESCAPUERTA SEGUNDO","PS",,,,,,
"PETER ANDERSON","PA",,"NARRAGANSETT","NOAA-NMFS-NEFSC",,,
"PHALAROPE","PH",,,,,,
"PISCES","PC","USA","Pascagoula, MS","SEFSC",,,
"POINT BATAN","PB",,,,,,
"POISK","PO",,,,,,
"PORT JEFFERSON","PF",,,,,,
"PRISCILLA V","PR",,,,,,
"PROGNOZ","PZ",,,,,,
"RELENTLESS","RL",,,,,,
"RELIANCE","RI",,,,,,
"RESEARCHER","RE",,,,,,
"RORQUAL","RQ",,,,,,
"ROSALIE D. MORSE","RM",,,,,,
"SANTA CRUZ","SZ",,,,,,
"SEA BREEZE","SEBR",,,,,,
"SEALAND VENTURE","SV",,,,,,
"SELFOSS","SF",,,,,,
"SEWARD JOHNSON","SJ",,,,,,
"SHAYO MARU","SH",,,,,,
"SHIP OF OPPORTUNITY","SOOP",,,,,,
"SHIRLEY & ROLAND","SR",,,,,,
"SILVER BAY","SB",,,,,,
"SILVER LINING","SL",,,,,,
"SILVER MINK","SM",,,,,,
"SKOGAFOSS","SK",,,,,,
"SPIRIT OF 76","S7",,,,,,
"STATE ARROW","SA",,,,,,
"STORMY WEATHER","SW",,,,,,
"STRIDER","SD",,,,,,
"STVOR","ST",,,,,,
"SUNAPEE","SP",,,,,,
"SUPERHORSE","SO",,,,,,
"SURVEYOR","SY",,,,,,
"SUZUKA MARU","SU",,,,,,
"T-476","T6",,,,,,
"T-79","T7",,,,,,
"TAMAROA","TM",,,,,,
"TANEY","TN",,,,,,
"THALASSA","TA",,,,,,
"THEODORE N. GILL","TG",,,,,,
"THETA","TH",,,,,,
"THOMAS THOMPSON","TT",,,,,,
"THOR","T4",,,,,,
"TOWNSEND CROMWELL","TC",,,,,,
"TREMONT","TR",,,,,,
"TRIDENT","TI",,,,,,
"UNDAUNTED","UN",,,,,,
"UNIMAK","UM",,,,,,
"UNKNOWN VESSEL","UNK",,,,,,
"USCG BITTERSWEET","BS",,,,,,
"USCG ROCKAWAY","RK",,,,,,
"USFW LAUNCH","UL",,,,,,
"USS GILBERT","UG",,,,,,
"VALARIE E.","VA",,,,,,
"VALIANT","VL",,,,,,
"VANGUARD","VN",,,,,,
"VENTURE","VEN",,,,,,
"VERRILL","VE",,,,,,
"VIANDRA","VI",,,,,,
"VIGILANT","VG",,,,,,
"VIGOROUS","VO",,,,,,
"WALK IN SAMPLES","WKI",,,,,,
"WALTER HERWIG","WG",,,,,,
"WARRIOR","WR","USA","NEW BEDFORD"," ",," "," "
"WE THREE","W3",,,,,,
"WESTERN EXPLORER","WE",,,,,,
"WESTERN PRIDE","WP","USA","CALIFORNIA",,72,,
"WESTWARD","WW",,,,,,
"WHALING CITY","WC",,,,,,
"WHITE","WT",,,,,,
"WHITEFOOT","WF",,,,,,
"WHITING","WH","USA",,,,,
"WIECZNO","WI","Poland",,,,,
"WIGRY","WY",,"POLAND",,200,,
"WISCONSIN","WS",,,,,,
"XIPHIAS","XI",,,,,,
"YANKEE CLIPPER","YC",,,,,,
"YANKEE PRIDE","YP","USA","POINT JUDITH",,,,
"YUBILEINIY","YU",,,,,,
"ZODIAC","ZOD",,,,,,
