SCINAME,COMNAME,SVSPP
LIPARIS ATLANTICUS,ATLANTIC SEASNAIL,170
LIPARIS INQUILINUS,INQUILINE SNAILFISH,167
LITHODES MAJA,NORTHERN STONE CRAB,324
LOBOTES SURINAMENSIS,TRIPLETAIL,598
LOLIGO PEALEII,LONGFIN SQUID,503
LOLIGO PEALEII EGG MOPS,LONGFIN SQUID EGG MOPS,520
LOLIGO PLEII,ARROW SQUID,505
LOLLIGUNCULA BREVIS,ATLANTIC BRIEF SQUID,504
LOPHIIFORMES,LOPHIIFORM UNCL,900
LOPHIUS AMERICANUS,GOOSEFISH,197
LOPHIUS GASTROPHYSUS,BLACKFIN GOOSEFISH,897
LOPHOLATILUS CHAMAELEONTICEPS,TILEFISH,151
LUMPENUS LUMPRETAEFORMIS,SNAKEBLENNY,182
LUMPENUS MACULATUS,DAUBED SHANNY,183
LUTJANIDAE,SNAPPER UNCL,597
LUTJANUS ANALIS,MUTTON SNAPPER,586
LUTJANUS APODUS,SCHOOLMASTER,587
LUTJANUS BUCCANELLA,BLACKFIN SNAPPER,588
LUTJANUS CAMPECHANUS,RED SNAPPER,589
LUTJANUS GRISEUS,GRAY SNAPPER,590
LUTJANUS JOCU,DOG SNAPPER,591
LUTJANUS SYNAGRIS,LANE SNAPPER,592
LUTJANUS VIVANUS,SILK SNAPPER,593
LYCENCHELYS VERRILLI,WOLF EELPOUT,190
LYCODES RETICULATUS,ARCTIC EELPOUT,189
MACRORHAMPHOSUS SCOLOPAX,LONGSPINE SNIPEFISH,111
MACROURIDAE,GRENADIER UNCL,090
MACROURUS BERGLAX,ROUGHHEAD GRENADIER,092
MACROZOARCES AMERICANUS,OCEAN POUT,193
MACTROMERIS POLYNYMA,ARCTIC SURFCLAM,407
MACTROMERIS POLYNYMA CLAPPER,ARCTIC SURFCLAM CLAPPER,408
MAJIDAE,SPIDER CRAB UNCL,317
MAKAIRA INDICA,BLACK MARLIN,940
MAKAIRA NIGRICANS,BLUE MARLIN,707
MALACANTHUS PLUMIERI,SAND TILEFISH,624
MALACOCEPHALUS OCCIDENTALIS,WESTERN SOFTHEAD GRENADIER,280
MALACORAJA SENTA,SMOOTH SKATE,027
MALLOTUS VILLOSUS,CAPELIN,038
MANTA BIROSTRIS,MANTA,272
MAUROLICUS WEITZMANI,WEITZMANS PEARLSIDES,229
MEGALOPS ATLANTICUS,TARPON,382
MELANOGRAMMUS AEGLEFINUS,HADDOCK,074
MELANOSTIGMA ATLANTICUM,ATLANTIC SOFT POUT,262
MEMBRAS MARTINICA,ROUGH SILVERSIDE,475
MENIDIA BERYLLINA,TIDEWATER SILVERSIDE,476
MENIDIA MENIDIA,ATLANTIC SILVERSIDE,113
MENTICIRRHUS AMERICANUS,SOUTHERN KINGFISH,652
MENTICIRRHUS LITTORALIS,GULF KINGFISH,653
MENTICIRRHUS SAXATILIS,NORTHERN KINGFISH,146
MERCENARIA CAMPECHIENSIS,SOUTHERN QUAHOG,411
MERCENARIA CAMPECHIENSIS BROKEN,SOUTHERN QUAHOG BROKEN,607
MERCENARIA CAMPECHIENSIS CLAPPER,SOUTHERN QUAHOG CLAPPER,412
MERCENARIA MERCENARIA,NORTHERN QUAHOG,413
MERCENARIA MERCENARIA CLAPPER,NORTHERN QUAHOG CLAPPER,414
MERLUCCIUS ALBIDUS,OFFSHORE HAKE,069
MERLUCCIUS BILINEARIS,SILVER HAKE,072
MERLUCCIUS SP,WHITING UNCL,086
MICROGADUS TOMCOD,ATLANTIC TOMCOD,453
MICROPOGONIAS UNDULATUS,ATLANTIC CROAKER,136
MODIOLUS MODIOLUS,NORTHERN HORSEMUSSEL,342
MOLA MOLA,OCEAN SUNFISH,265
MONACANTHUS CILIATUS,FRINGED FILEFISH,836
MONACANTHUS HISPIDUS,PLANEHEAD FILEFISH,201
MONOLENE SESSILICAUDA,DEEPWATER FLOUNDER,110
MORIDAE,MORA UNCL,088
MORONE AMERICANA,WHITE PERCH,140
MORONE SAXATILIS,STRIPED BASS,139
MUGIL CEPHALUS,STRIPED MULLET,689
MUGIL CUREMA,WHITE MULLET,690
MUGIL GYRANS,FANTAIL MULLET,692
MUGIL LIZA,LIZA,691
MULLUS AURATUS,RED GOATFISH,187
MURAENIDAE,MORAY UNCL,388
MUSTELUS CANIS,SMOOTH DOGFISH,013
MUSTELUS NORRISI,FLORIDA SMOOTHHOUND,935
MYCTEROPERCA BONACI,BLACK GROUPER,540
MYCTEROPERCA INTERSTITIALIS,YELLOWMOUTH GROUPER,524
MYCTEROPERCA MICROLEPIS,GAG,541
MYCTEROPERCA PHENAX,SCAMP,542
MYCTEROPERCA VENENOSA,YELLOWFIN GROUPER,543
MYCTOPHIDAE,LANTERNFISH UNCL,056
MYCTOPHUM HUMBOLDTI,HUMBOLDTS LANTERNFISH,053
MYCTOPHUM PUNCTATUM,SPOTTED LANTERNFISH,055
MYLIOBATIS FREMINVILLEI,BULLNOSE RAY,019
MYLIOBATIS GOODEI,SOUTHERN EAGLE RAY,378
MYOXOCEPHALUS AENAEUS,GRUBBY,166
MYOXOCEPHALUS OCTODECEMSPINOSUS,LONGHORN SCULPIN,163
MYOXOCEPHALUS QUADRICORNIS,FOURHORN SCULPIN,772
MYOXOCEPHALUS SCORPIUS,SHORTHORN SCULPIN,162
MYRIPRISTIS JACOBUS,BLACKBAR SOLDIERFISH,482
MYROPHIS PUNCTATUS,SPECKLED WORM EEL,393
MYTILUS EDULIS,BLUE MUSSEL,343
MYXINE GLUTINOSA,ATLANTIC HAGFISH,001
NARCINE BRASILIENSIS,LESSER ELECTRIC RAY,367
NASSARIUS SP,,347
NATICIDAE,MOON SNAIL, SHARK EYE, AND BABY-EAR UNCL,338
NAUCRATES DUCTOR,PILOTFISH,576
NEGAPRION BREVIROSTRIS,LEMON SHARK,359
NEMICHTHYS SCOLOPACEUS,SLENDER SNIPE EEL,067
NEOMERINTHE HEMINGWAYI,SPINYCHEEK SCORPIONFISH,751
NEPTUNEA DECEMCOSTATA,TEN-RIDGED WHELK,345
NESIARCHUS NASUTUS,BLACK GEMFISH,227
NEVERITA DUPLICATA,SHARK EYE,349
NEZUMIA BAIRDI,MARLIN-SPIKE,091
NICHOLSINA USTA,EMERALD PARROTFISH,685
NO FISH BUT GOOD TOW,WATER HAUL,300
NOTOSCOPELUS RESPLENDENS,PATCHWORK LAMPFISH,058
OCTOPODA,OCTOPUS UNCL,510
OCTOPUS VULGARIS,COMMON OCTOPUS,511
OCYURUS CHRYSURUS,YELLOWTAIL SNAPPER,594
OGCOCEPHALIDAE,BATFISH UNCL,452
OGCOCEPHALUS CORNIGER,LONGNOSE BATFISH,206
OGCOCEPHALUS NASUTUS,SHORTNOSE BATFISH,450
OGCOCEPHALUS PARVUS,ROUGHBACK BATFISH,451
OGCOCEPHALUS RADIATUS,POLKA-DOT BATFISH,883
OLIGOPLITES SAURUS,LEATHERJACK,577
ONCORHYNCHUS MYKISS,RAINBOW TROUT,431
OPHICHTHIDAE,SNAKE EEL UNCL,425
OPHICHTHUS CRUENTIFER,MARGINED SNAKE EEL,065
OPHICHTHUS GOMESI,SHRIMP EEL,395
OPHICHTHUS PUNCTICEPS,PALESPOTTED EEL,396
OPHIDIIDAE,CUSK-EEL UNCL,461
OPHIDION BEANI,LONGNOSE CUSK-EEL,868
OPHIDION GRAYI,BLOTCHED CUSK-EEL,458
OPHIDION HOLBROOKI,BANK CUSK-EEL,459
OPHIDION MARGINATUM,STRIPED CUSK-EEL,188
OPHIDION SELENOPS,MOONEYE CUSK-EEL,869
OPHIDION WELSHI,CRESTED CUSK-EEL,460
OPISTHONEMA OGLINUM,ATLANTIC THREAD HERRING,428
OPISTOGNATHUS LONCHURUS,MOUSTACHE JAWFISH,696
OPISTOGNATHUS MAXILLOSUS,MOTTLED JAWFISH,697
OPSANUS PARDUS,LEOPARD TOADFISH,443
OPSANUS TAU,OYSTER TOADFISH,185
ORTHOPRISTIS CHRYSOPTERA,PIGFISH,142
OSMERUS MORDAX,RAINBOW SMELT,045
OSTICHTHYS TRACHYPOMA,BIGEYE SOLDIERFISH,483
OTOPHIDIUM OMOSTIGMUM,POLKA-DOT CUSK-EEL,186
OVALIPES OCELLATUS,LADY CRAB,322
OVALIPES SP,CALICO CRAB UNCL,315
OVALIPES STEPHENSONI,COARSEHAND LADY CRAB,321
PAGRUS SEDECIM,RED PORGY,641
PAGUROIDEA,HERMIT CRAB UNCL,335
PANDALIS BOREALIS,NORTHERN SHRIMP FEMALE II,957
PANDALIS BOREALIS,NORTHERN SHRIMP NON SPAWN,960
PANDALIS BOREALIS,NORTHERN SHRIMP OVIGEROUS,959
PANDALIS BOREALIS,NORTHERN SHRIMP TRANSITIONAL,958
PANDALIS BOREALIS,NORTHERN SHRIMP FEMALE I,956
PANDALIS BOREALIS,NORTHERN SHRIMP UNSTAGED,961
PANDALIS BOREALIS,NORTHERN SHRIMP MALE,955
PANDALUS BOREALIS,NORTHERN SHRIMP,306
PANDALUS MONTAGUI,AESOP SHRIMP,297
PANDALUS PROPINQUUS,,298
PANULIRUS ARGUS,CARIBBEAN SPINY LOBSTER,304
PARABLENNIUS MARMOREUS,SEAWEED BLENNY,728
PARAHOLLARDIA LINEATA,JAMBEAU,829
PARALEPIDAE,BARRACUDINA UNCL,896
PARALEPIS COREGONOIDES,,245
PARALICHTHYS ALBIGUTTA,GULF FLOUNDER,788
PARALICHTHYS DENTATUS,SUMMER FLOUNDER,103
PARALICHTHYS LETHOSTIGMA,SOUTHERN FLOUNDER,789
PARALICHTHYS OBLONGUS,FOURSPOT FLOUNDER,104
PARALICHTHYS SP,PARALICHTHYS UNCL,853
PARALICHTHYS SQUAMILENTUS,BROAD FLOUNDER,790
PARANTHIAS FURCIFER,CREOLE-FISH,545
PARASUDIS TRUCULENTA,LONGNOSE GREENEYE,242
PASIPHAEA MULTIDENTATA,PINK GLASS SHRIMP,292
PENAEUS AZTECUS,BROWN SHRIMP,913
PENAEUS DUORARUM,PINK SHRIMP,914
PENAEUS SETIFERUS,WHITE SHRIMP,915
PENAEUS SP,SHRIMP (PINK,BROWN,WHITE),307
PEPRILUS ALEPIDOTUS,HARVESTFISH,749
PEPRILUS TRIACANTHUS,BUTTERFISH,131
PERISTEDION GRACILE,SLENDER SEAROBIN,763
PERISTEDION MINIATUM,ARMORED SEAROBIN,173
PETROMYZON MARINUS,SEA LAMPREY,002
PHOCA VITULINA CONCOLOR,HARBOR SEAL,969
PHOCIDAE,SEAL UNCLASSIFIED,971
PHOCOENA PHOCOENA,HARBOR PORPOISE,964
PHOCOENIDAE/DELPHINIDAE,PORPOISE/DOLPHIN UNCLASSIFIED,968
PHOLIS GUNNELLUS,ROCK GUNNEL,180
PHYSICULUS FULVUS,METALLIC CODLING,082
PITAR MORRHUANUS,FALSE QUAHOG,415
PLACOPECTEN MAGELLANICUS,SEA SCALLOP,401
PLACOPECTEN MAGELLANICUS CLAPPER,SEA SCALLOP CLAPPER,400
PLECTRYPOPS RETROSPINIS,CARDINAL SOLDIERFISH,484
PLEOTICUS ROBUSTUS,ROYAL RED SHRIMP,910
PLESIOPENAEUS EDWARDSIANUS,SCARLET GAMBA SHRIMP,911
PLEURONECTIDAE,RIGHTEYE FLOUNDER UNCL,773
PLEURONECTIFORMES,FLOUNDER UNCL,100
POECILOPSETTA BEANI,DEEPWATER DAB,098
POGONIAS CROMIS,BLACK DRUM,147
POLLACHIUS VIRENS,POLLOCK,075
POLYIPNUS CLARUS,,251
POLYMETME THAEOCORYLA,,237
POLYMIXIA LOWEI,BEARDFISH,263
POLYMIXIA NOBILIS,STOUT BEARDFISH,264
POMACANTHUS ARCUATUS,GRAY ANGELFISH,668
POMACENTRIDAE,DAMSELFISH UNCL,619
POMACENTRUS LEUCOSTICTUS,BEAUGREGORY,672
POMACENTRUS VARIABILIS,COCOA DAMSELFISH,854
POMATOMUS SALTATRIX,BLUEFISH,135
PONTINUS LONGISPINIS,LONGSPINE SCORPIONFISH,154
PONTINUS RATHBUNI,HIGHFIN SCORPIONFISH,752
PONTOPHILUS NORVEGICUS,NORWEGIAN SHRIMP,299
PORICHTHYS PLECTRODON,ATLANTIC MIDSHIPMAN,444
PORTUNIDAE,SWIMMING CRAB UNCL,320
PORTUNUS SPINIMANUS,BLOTCHED SWIMMING CRAB,516
PRIACANTHUS ARENATUS,BIGEYE,134
PRIACANTHUS CRUENTATUS,GLASSEYE SNAPPER,556
PRIONACE GLAUCA,BLUE SHARK,017
PRIONOTUS ALATUS,SPINY SEAROBIN,764
PRIONOTUS CAROLINUS,NORTHERN SEAROBIN,171
PRIONOTUS EVOLANS,STRIPED SEAROBIN,172
PRIONOTUS LONGISPINOSUS,BIGEYE SEAROBIN,767
PRIONOTUS OPHRYAS,BANDTAIL SEAROBIN,765
PRIONOTUS PARALATUS,MEXICAN SEAROBIN,274
PRIONOTUS ROSEUS,BLUESPOTTED SEAROBIN,766
PRIONOTUS RUBIO,BLACKWING SEAROBIN,768
PRIONOTUS SCITULUS,LEOPARD SEAROBIN,769
PRIONOTUS STEARNSI,SHORTWING SEAROBIN,871
PRIONOTUS TRIBULUS,BIGHEAD SEAROBIN,770
PRISTIGENYS ALTA,SHORT BIGEYE,557
PRISTIPOMOIDES AQUILONARIS,WENCHMAN,595
PROGNICHTHYS GIBBIFRONS,BLUNTNOSE FLYINGFISH,470
PROMETHICHTHYS PROMETHEUS,CONEJO,127
PSEUDOPLEURONECTES AMERICANUS,WINTER FLOUNDER,106
PSEUDUPENEUS MACULATUS,SPOTTED GOATFISH,656
PUNGITIUS PUNGITIUS,NINESPINE STICKLEBACK,902
RACHYCENTRON CANADUM,COBIA,563
RAJA ACKLEYI,OCELLATE SKATE,368
RAJA EGLANTERIA,CLEARNOSE SKATE,024
RAJA SP,SKATE UNCL,020
RAJA TEXANA,ROUNDEL SKATE,372
RAJIFORMES,RAY AND SKATE UNCL,005
REINHARDTIUS HIPPOGLOSSOIDES,GREENLAND HALIBUT,099
REMORA BRACHYPTERA,SPEARFISH REMORA,565
REMORA OSTEOCHIR,MARLINSUCKER,566
REMORA REMORA,REMORA,567
RHINOBATOS LENTIGINOSUS,ATLANTIC GUITARFISH,200
RHINOPTERA BONASUS,COWNOSE RAY,270
RHIZOPRIONODON TERRAENOVAE,ATLANTIC SHARPNOSE SHARK,360
RHOMBOPLITES AURORUBENS,VERMILION SNAPPER,596
ROSSIA MEGAPTERA,VERRILL'S BOBTAIL,514
ROSSIA PALPEBROSA,OWEN'S BOBTAIL,515
RUVETTUS PRETIOSUS,OILFISH,823
RYPTICUS BISTRISPINUS,FRECKLED SOAPFISH,555
RYPTICUS SUBBIFRENATUS,SPOTTED SOAPFISH,895
SALMO SALAR,ATLANTIC SALMON,894
SALMO TRUTTA,BROWN TROUT,432
SARDA ORIENTALIS,STRIPED BONITO,938
SARDA SARDA,ATLANTIC BONITO,123
SARDINELLA AURITA,SPANISH SARDINE,429
SARGOCENTRON BULLISI,DEEPWATER SQUIRRELFISH,479
SARGOCENTRON VEXILLARIUS,DUSKY SQUIRRELFISH,481
SAURIDA BRASILIENSIS,LARGESCALE LIZARDFISH,433
SAURIDA NORMANI,SHORTJAW LIZARDFISH,434
SCAEURGUS UNICIRRHUS,UNICORN OCTOPUS,513
SCARIDAE,PARROTFISH UNCL,688
SCARUS COERULEUS,BLUE PARROTFISH,686
SCHULTZEA BETA,SCHOOL BASS,523
SCIAENIDAE,DRUM UNCL,858
SCIAENOPS OCELLATUS,RED DRUM,654
SCOMBER JAPONICUS,CHUB MACKEREL,124
SCOMBER SCOMBRUS,ATLANTIC MACKEREL,121
SCOMBERESOX SAURUS,ATLANTIC SAURY,205
SCOMBEROMORUS CAVALLA,KING MACKEREL,744
SCOMBEROMORUS MACULATUS,SPANISH MACKEREL,745
SCOMBEROMORUS REGALIS,CERO,746
SCOMBRIDAE,MACKEREL AND TUNA UNCL,860
SCOPHTHALMUS AQUOSUS,WINDOWPANE,108
SCORPAENA AGASSIZI,LONGFIN SCORPIONFISH,753
SCORPAENA BRASILIENSIS,BARBFISH,754
SCORPAENA CALCARATA,SMOOTHHEAD SCORPIONFISH,755
SCORPAENA DISPAR,HUNCHBACK SCORPIONFISH,756
SCORPAENA GRANDICORNIS,PLUMED SCORPIONFISH,757
SCORPAENA PLUMIERI,SPOTTED SCORPIONFISH,758
SCORPAENIDAE,SCORPIONFISH AND ROCKFISH UNCL,759
SCYLIORHINUS RETIFER,CHAIN DOGFISH,014
SCYLLARIDES AEQUINOCTIALIS,SPANISH SLIPPER LOBSTER,303
SCYLLARIDES NODIFER,RIDGED SLIPPER LOBSTER,302
SEBASTES FASCIATUS,ACADIAN REDFISH,155
SELACHIMORPHA,SHARK UNCL,011
SELAR CRUMENOPHTHALMUS,BIGEYE SCAD,209
SELENE SETAPINNIS,ATLANTIC MOONFISH,132
SELENE VOMER,LOOKDOWN,133
SEMIROSSIA TENERA,LESSER SHINING BOBTAIL,507
SEPIOLIDAE,BOBTAIL UNCL,506
SERIOLA DUMERILI,GREATER AMBERJACK,203
SERIOLA FASCIATA,LESSER AMBERJACK,877
SERIOLA RIVOLIANA,ALMACO JACK,578
SERIOLA ZONATA,BANDED RUDDERFISH,204
SERRANICULUS PUMILIO,PYGMY SEA BASS,547
SERRANIDAE,SEA BASS UNCL,554
SERRANUS ANNULARIS,ORANGEBACK BASS,548
SERRANUS ATROBRANCHUS,BLACKEAR BASS,549
SERRANUS BALDWINI,LANTERN BASS,550
SERRANUS NOTOSPILUS,SADDLE BASS,551
SERRANUS PHOEBE,TATTLER,552
SERRANUS SUBLIGARIUS,BELTED SANDFISH,553
SERRIPES GROENLANDICUS,GREENLAND COCKLE,418
SICYONIA BREVIROSTRIS,BROWN ROCK SHRIMP,316
SIMENCHELYS PARASITICUS,SNUBNOSE EEL,064
SOLENIDAE,RAZOR AND JACKKNIFE CLAM UNCL,416
SPARIDAE,PORGY AND PINFISH UNCL,643
SPARISOMA RADIANS,BUCKTOOTH PARROTFISH,687
SPHOEROIDES DORSALIS,MARBLED PUFFER,843
SPHOEROIDES MACULATUS,NORTHERN PUFFER,196
SPHOEROIDES NEPHELUS,SOUTHERN PUFFER,844
SPHOEROIDES PACHYGASTER,BLUNTHEAD PUFFER,880
SPHOEROIDES SPENGLERI,BANDTAIL PUFFER,845
SPHOEROIDES TESTUDINEUS,CHECKERED PUFFER,846
SPHYRAENA BARRACUDA,GREAT BARRACUDA,693
SPHYRAENA BOREALIS,NORTHERN SENNET,694
SPHYRAENA GUACHANCHO,GUAGUANCHE,695
SPHYRAENA SP,BARRACUDA UNCL,620
SPHYRNA LEWINI,SCALLOPED HAMMERHEAD SHARK,362
SPHYRNA MEDIA,SCOOPHEAD SHARK,937
SPHYRNA MOKARRAN,GREAT HAMMERHEAD SHARK,363
SPHYRNA TIBURO,BONNETHEAD SHARK,364
SPHYRNA TUDES,SMALLEYE HAMMERHEAD SHARK,365
SPHYRNA ZYGAENA,SMOOTH HAMMERHEAD SHARK,366
SPIRONTOCARIS LILJEBORGII,FRIENDLY BLADE SHRIMP,295
SPIRONTOCARIS PHIPPSII,PUNCTATE BLADE SHRIMP,285
SPIRONTOCARIS SPINUS,PARROT SHRIMP,286
SPISULA SOLIDISSIMA,ATLANTIC SURFCLAM,403
SPISULA SOLIDISSIMA BROKEN,ATLANTIC SURFCLAM BROKEN,605
SPISULA SOLIDISSIMA CLAPPER,ATLANTIC SURFCLAM CLAPPER,406
SQUALIDAE,,600
SQUALUS ACANTHIAS,SPINY DOGFISH,015
SQUATINA DUMERIL,ATLANTIC ANGEL SHARK,016
STELLEROIDEA,SEA STAR, BRITTLE STAR, AND BASKETSTAR UNCL,332
STELLIFER LANCEOLATUS,STAR DRUM,655
STENOTOMUS CAPRINUS,SCUP,642
STENOTOMUS CHRYSOPS,SCUP,143
STERNOPTYCHIDAE,HATCHETFISH UNCL,252
STOLOTEUTHIS LEUCOPTERA,SHIELD BOBTAIL,508
STOMATOPODA,MANTIS SHRIMP UNCL,323
STOMIAS BOA,BOA DRAGONFISH,228
STOMIIDAE,SCALY DRAGONFISH UNCL,248
STROMATEIDAE,BUTTERFISH UNCL,750
STRONGYLURA MARINA,ATLANTIC NEEDLEFISH,471
SYACIUM GUNTERI,SHOAL FLOUNDER,791
SYACIUM MICRURUM,CHANNEL FLOUNDER,792
SYACIUM PAPILLOSUM,DUSKY FLOUNDER,793
SYMPHURUS CIVITATUS,OFFSHORE TONGUEFISH,797
SYMPHURUS DIOMEDIANUS,SPOTTEDFIN TONGUEFISH,798
SYMPHURUS MARGINATUS,SLENDER TONGUEFISH,821
SYMPHURUS MINOR,LARGESCALE TONGUEFISH,799
SYMPHURUS PLAGIUSA,BLACKCHEEK TONGUEFISH,825
SYMPHURUS PUSILLUS,NORTHERN TONGUEFISH,826
SYMPHURUS SP,TONGUEFISH UNCL,221
SYMPHURUS UROSPILUS,SPOTTAIL TONGUEFISH,827
SYNAGROPS BELLUS,BLACKMOUTH BASS,114
SYNAGROPS SPINOSUS,KEELCHEEK BASS,137
SYNGNATHIDAE,PIPEFISH SEAHORSE UNCL,421
SYNGNATHUS FLORIDAE,DUSKY PIPEFISH,494
SYNGNATHUS FUSCUS,NORTHERN PIPEFISH,116
SYNGNATHUS LOUISIANAE,CHAIN PIPEFISH,495
SYNGNATHUS SPRINGERI,BULL PIPEFISH,496
SYNODONTIDAE,LIZARDFISH UNCL,852
SYNODUS FOETENS,INSHORE LIZARDFISH,435
SYNODUS INTERMEDIUS,SAND DIVER,436
SYNODUS POEYI,OFFSHORE LIZARDFISH,437
SYNODUS SYNODUS,RED LIZARDFISH,438
TARATICHTHYS LONGIPINNIS,BIGSCALE POMFRET,130
TAUTOGA ONITIS,TAUTOG,177
TAUTOGOLABRUS ADSPERSUS,CUNNER,176
TETRAODONTIDAE,PUFFER UNCL,861
TETRAPTURUS ALBIDUS,WHITE MARLIN,708
TETRAPTURUS ANGUSTIROSTRIS,SHORTBILL SPEARFISH,941
TETRAPTURUS AUDAX,STRIPED MARLIN,942
TETRAPTURUS PFLUEGERI,LONGBILL SPEARFISH,943
THRACIA SP,DUCK-BILL SHELL UNCL,405
THUNNUS ALALUNGA,ALBACORE,703
THUNNUS ALBACARES,YELLOWFIN TUNA,704
THUNNUS ATLANTICUS,BLACKFIN TUNA,705
THUNNUS OBESUS,BIGEYE TUNA,706
THUNNUS THYNNUS,BLUEFIN TUNA,747
TORPEDO NOBILIANA,ATLANTIC TORPEDO,021
TRACHINOCEPHALUS MYOPS,SNAKEFISH,439
TRACHINOTUS CAROLINUS,FLORIDA POMPANO,579
TRACHINOTUS FALCATUS,PERMIT,580
TRACHINOTUS GOODEI,PALOMETA,581
TRACHURUS LATHAMI,ROUGH SCAD,212
TRACHYSCORPIA CRISTULATA,ATLANTIC THORNYHEAD,885
TRASH SPECIES IN CATCH,TRASH,998
TRIAKIS SEMIFASCIATA,LEOPARD SHARK,936
TRICHIURIDAE,SNAKE MACKEREL UNCL,822
TRICHIURUS LEPTURUS,ATLANTIC CUTLASSFISH,126
TRIGLIDAE,SEAROBIN UNCL,174
TRIGLOPS MURRAYI,MOUSTACHE SCULPIN,161
TRINECTES MACULATUS,HOGCHOKER,118
TURSIOPS TRUNCATUS,BOTTLENOS DOLPHIN,965
TYLOSURUS CROCODILUS,HOUNDFISH,215
ULVARIA SUBBIFURCATA,RADIATED SHANNY,184
UNIDENTIFIED FISH,UNCLASSIFIED FISH,000
UNKNOWN 01,UNKNOWN 01,978
UNKNOWN 02,UNKNOWN 02,979
UNKNOWN 03,UNKNOWN 03,980
UNKNOWN 04,UNKNOWN 04,981
UNKNOWN 05,UNKNOWN 05,982
UNKNOWN 06,UNKNOWN 06,983
UNKNOWN 07,UNKNOWN 07,984
UNKNOWN 08,UNKNOWN 08,985
UNKNOWN 09,UNKNOWN 09,986
UNKNOWN 10,UNKNOWN 10,987
UNKNOWN 11,UNKNOWN 11,988
UNKNOWN 12,UNKNOWN 12,989
UNKNOWN 13,UNKNOWN 13,990
UNKNOWN 14,UNKNOWN 14,991
UNKNOWN 15,UNKNOWN 15,992
UNKNOWN 16,UNKNOWN 16,993
UNKNOWN 17,UNKNOWN 17,994
UNKNOWN 18,UNKNOWN 18,995
UNKNOWN 19,UNKNOWN 19,996
UNKNOWN 20,UNKNOWN 20,997
UPENEUS PARVUS,DWARF GOATFISH,657
URANOSCOPIDAE,STARGAZER UNCL,857
URASPIS SECUNDA,COTTONMOUTH JACK,898
UROLOPHUS JAMAICENSIS,YELLOW STINGRAY,377
UROPHYCIS CHESTERI,LONGFIN HAKE,079
UROPHYCIS CHUSS,RED HAKE,077
UROPHYCIS EARLLI,CAROLINA HAKE,454
UROPHYCIS FLORIDANA,SOUTHERN HAKE,455
UROPHYCIS REGIA,SPOTTED HAKE,078
UROPHYCIS SP,LING UNCL,087
UROPHYCIS TENUIS,WHITE HAKE,076
VINCIGUERRIA ATTENUATA,SLENDER LIGHTFISH,244
VINCIGUERRIA SP,,236
XENOCEPHALUS EGREGIUS,FRECKLED STARGAZER,725
XENODERMICHTHYS COPEI,BLUNTNOSE SMOOTHHEAD,243
XENOLEPIDICHTHYS DALGLEISHI,SPOTTED TINSELFISH,617
XIPHIAS GLADIUS,SWORDFISH,700
YARELLA BLACKFORDI,,281
ZENOPSIS CONCHIFERA,BUCKLER DORY,112
ZOARCIDAE,EELPOUT UNCL,267
