"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"NATICIDAE"	338	72878	"MOON SNAIL SHARK EYE AND BABY-EAR"	"Guilding, 1834"
"CALAPPIDAE"	339	98340	"BOX CRAB UNCL"	"De Haan, 1833"
"CHLAMYS ISLANDICA"	340	79619	"ICELAND SCALLOP"	"(Muller, 1776)"
"CHLAMYS ISLANDICA CLAPPER"	341	NA	"ICELAND SCALLOP CLAPPER"	NA
"MODIOLUS MODIOLUS"	342	79501	"NORTHERN HORSEMUSSEL"	"(Linnaeus, 1758)"
"MYTILUS EDULIS"	343	79454	"BLUE MUSSEL"	"Linnaeus, 1758"
"BUCCINUM UNDATUM"	344	73795	"WAVED WHELK"	"Linnaeus, 1758"
"NEPTUNEA DECEMCOSTATA"	345	74008	"TEN-RIDGED WHELK"	"(Say, 1826) (syn)"
"COLUS STIMPSONI"	346	73922	"STIMPSON'S WHELK"	"(Morch, 1867)"
"NASSARIUS "	347	74103	NA	NA
"EUSPIRA HEROS"	348	72985	"NORTHERN MOONSNAIL"	"(Say, 1822)"
"NEVERITA DUPLICATA"	349	72961	"SHARK EYE"	"(Say, 1822)"
"GINGLYMOSTOMA CIRRATUM"	350	159977	"NURSE SHARK"	"(Bonnaterre, 1788)"
"CARCHARODON CARCHARIAS"	351	159903	"WHITE SHARK"	"(Linnaeus, 1758)"
"ISURUS OXYRINCHUS"	352	159924	"SHORTFIN MAKO"	"Rafinesque, 1810"
"LAMNA NASUS"	353	159911	"PORBEAGLE SHARK"	"(Bonnaterre, 1788)"
"CARCHARHINUS ACRONOTUS"	354	160304	"BLACKNOSE SHARK"	"(Poey, 1860)"
"CARCHARHINUS FALCIFORMIS"	355	160310	"SILKY SHARK"	"(Muller and Henle, 1839)"
"CARCHARHINUS LEUCAS"	356	160275	"BULL SHARK"	"(Muller and Henle, 1839)"
"CARCHARHINUS LIMBATUS"	357	160318	"BLACKTIP SHARK"	"(Muller and Henle, 1839)"
"GALEOCERDO CUVIER"	358	160189	"TIGER SHARK"	"(Peron and Lesueur, 1822)"
"NEGAPRION BREVIROSTRIS"	359	160433	"LEMON SHARK"	"(Poey, 1868)"
"RHIZOPRIONODON TERRAENOVAE"	360	160200	"ATLANTIC SHARPNOSE SHARK"	"(Richardson, 1836)"
"CARCHARHINIDAE"	361	160178	"REQUIEM SHARK UNCL"	"Jordan and Evermann, 1896"
"SPHYRNA LEWINI"	362	160508	"SCALLOPED HAMMERHEAD SHARK"	"(Griffith and Smith, 1834)"
"SPHYRNA MOKARRAN"	363	160515	"GREAT HAMMERHEAD SHARK"	"(Ruppell, 1837)"
"SPHYRNA TIBURO"	364	160502	"BONNETHEAD SHARK"	"(Linnaeus, 1758)"
"SPHYRNA TUDES"	365	160519	"SMALLEYE HAMMERHEAD SHARK"	"(Valenciennes, 1822)"
"SPHYRNA ZYGAENA"	366	160505	"SMOOTH HAMMERHEAD SHARK"	"(Linnaeus, 1758)"
"NARCINE BRASILIENSIS"	367	160844	"LESSER ELECTRIC RAY"	"(Olfers, 1831)"
"RAJA ACKLEYI"	368	160859	"OCELLATE SKATE"	"Garman, 1881"
"DIPTURUS OLSENI"	370	564146	"SPREADFIN SKATE"	"(Bigelow and Schroeder, 1951)"
"BATHYRAJA SPINICAUDA"	371	160932	"SPINYTAIL SKATE"	"(Jensen, 1914)"
"RAJA TEXANA"	372	160875	"ROUNDEL SKATE"	"Chandler, 1921"
"DASYATIS SABINA"	373	160953	"ATLANTIC STINGRAY"	"(Lesueur, 1824)"
"DASYATIS VIOLACEA"	374	160950	"PELAGIC STINGRAY"	"(Bonaparte, 1832)"
"GYMNURA ALTAVELA"	375	160961	"SPINY BUTTERFLY RAY"	"(Linnaeus, 1758)"
"GYMNURA MICRURA"	376	160962	"SMOOTH BUTTERFLY RAY"	"(Bloch and Schneider, 1801)"
"UROLOPHUS JAMAICENSIS"	377	160965	"YELLOW STINGRAY"	"(Cuvier, 1816)"
"MYLIOBATIS GOODEI"	378	160982	"SOUTHERN EAGLE RAY"	"Garman, 1885"
"ACIPENSER BREVIROSTRUM"	379	161069	"SHORTNOSE STURGEON"	"Lesueur, 1818"
"ACIPENSER OXYRHYNCHUS"	380	573257	"ATLANTIC STURGEON"	"Mitchill, 1815"
"ELOPS SAURUS"	381	161111	"LADYFISH"	"Linnaeus, 1766"
"MEGALOPS ATLANTICUS"	382	161116	"TARPON"	"Valenciennes in Cuvier and Valenciennes, 1847"
"ALBULA VULPES"	383	161121	"BONEFISH"	"(Linnaeus, 1758)"
"ANGUILLA ROSTRATA"	384	161127	"AMERICAN EEL"	"(Lesueur, 1817)"
"ANARCHIAS SIMILIS"	385	161169	"PYGMY MORAY"	"(Lea, 1913)"
"GYMNOTHORAX MORINGA"	386	161188	"SPOTTED MORAY"	"(Cuvier, 1829)"
"GYMNOTHORAX NIGROMARGINATUS"	387	161189	"BLACKEDGE MORAY"	"(Girard, 1859)"
"MURAENIDAE"	388	161160	"MORAY UNCL"	NA
"ARIOSOMA BALEARICUM"	389	161344	"BANDTOOTH CONGER"	"(Delaroche, 1809)"
"CONGRIDAE"	390	161324	"CONGER EEL UNCL"	NA
"CALLECHELYS GUINIENSIS"	391	161435	"SHORTTAIL SNAKE EEL"	"(Osorio, 1894)"
"LETHARCHUS VELIFER"	392	161441	"SAILFIN EEL"	"Goode and Bean, 1882"
"MYROPHIS PUNCTATUS"	393	161453	"SPECKLED WORM EEL"	"Luetken, 1852"
"ECHIOPHIS INTERTINCTUS"	394	161551	"SPOTTED SPOON-NOSE EEL"	"(Richardson, 1848)"
"OPHICHTHUS GOMESI"	395	161462	"SHRIMP EEL"	"(Castlenau, 1855)"
"OPHICHTHUS PUNCTICEPS"	396	161481	"PALESPOTTED EEL"	"(Kaup, 1860)"
"APTERICHTUS ANSP"	397	161534	"ACADEMY EEL"	"(Boehlke, 1968)"
"APTERICHTUS KENDALLI"	398	161536	"FINLESS EEL"	"(Gilbert, 1891)"
"ECHIOPHIS "	399	161550	"SPOON-NOSE EEL UNCL"	NA
"PLACOPECTEN MAGELLANICUS CLAPPER"	400	NA	"SEA SCALLOP CLAPPER"	NA
"PLACOPECTEN MAGELLANICUS"	401	79718	"SEA SCALLOP"	"(Gmelin, 1791)"
"ARGOPECTEN IRRADIANS"	402	79737	"BAY SCALLOP"	"(Lamarck, 1819)"
"SPISULA SOLIDISSIMA"	403	80944	"ATLANTIC SURFCLAM"	"(Dillwyn, 1817)"
"ARGOPECTEN GIBBUS"	404	79734	"ATLANTIC CALICO SCALLOP"	"(Linnaeus, 1758)"
"THRACIA "	405	81962	"DUCK-BILL SHELL UNCL"	NA
"SPISULA SOLIDISSIMA CLAPPER"	406	NA	"ATLANTIC SURFCLAM CLAPPER"	NA
"MACTROMERIS POLYNYMA"	407	80983	"ARCTIC SURFCLAM"	"(Stimpson, 1860)"
"MACTROMERIS POLYNYMA CLAPPER"	408	NA	"ARCTIC SURFCLAM CLAPPER"	NA
"ARCTICA ISLANDICA"	409	81343	"OCEAN QUAHOG"	"(Linnaeus, 1767)"
"ARCTICA ISLANDICA CLAPPER"	410	NA	"OCEAN QUAHOG CLAPPER"	NA
"MERCENARIA CAMPECHIENSIS"	411	81499	"SOUTHERN QUAHOG"	"(Gmelin, 1791)"
"MERCENARIA CAMPECHIENSIS CLAPPER"	412	NA	"SOUTHERN QUAHOG CLAPPER"	NA
"MERCENARIA MERCENARIA"	413	81496	"NORTHERN QUAHOG"	"(Linnaeus, 1758)"
"MERCENARIA MERCENARIA CLAPPER"	414	NA	"NORTHERN QUAHOG CLAPPER"	NA
"PITAR MORRHUANUS"	415	81501	"FALSE QUAHOG"	"(Linsley, 1848)"
"SOLENIDAE"	416	81006	"RAZOR AND JACKKNIFE CLAM UNCL"	"Lamarck, 1809"
"CYRTODARIA SILIQUA"	417	81763	"NORTHERN PROPELLER CLAM"	"(Spengler, 1793)"
"SERRIPES GROENLANDICUS"	418	80879	"GREENLAND COCKLE"	"(Mohr, 1786)"
"CYCLOCARDIA BOREALIS"	419	80744	"NORTHERN CYCLOCARDIA"	"(Conrad, 1831)"
"ASTARTE CASTANEA"	420	80801	"SMOOTH ASTARTE"	"(Say, 1822)"
"SYNGNATHIDAE"	421	166443	"PIPEFISH SEAHORSE UNCL"	NA
"CAPROIDAE"	422	166309	"BOARFISH UNCL"	NA
"ATHERINIDAE"	423	165984	"SILVERSIDE UNCL"	NA
"OPHICHTHIDAE"	425	161419	"SNAKE EEL UNCL"	NA
"DOROSOMA CEPEDIANUM"	426	161737	"GIZZARD SHAD"	"(Lesueur, 1818)"
"JENKINSIA LAMPROTAENIA"	427	161759	"DWARF HERRING"	"(Gosse, 1851)"
"OPISTHONEMA OGLINUM"	428	161748	"ATLANTIC THREAD HERRING"	"(Lesueur, 1818)"
"SARDINELLA AURITA"	429	161763	"SPANISH SARDINE"	"Valenciennes in Cuvier and Valenciennes, 1847"
"ANCHOVIELLA PERFASCIATA"	430	161857	"FLAT ANCHOVY"	"(Poey, 1860)"
"ONCORHYNCHUS MYKISS"	431	161989	"RAINBOW TROUT"	"(Walbaum, 1792)"
"SALMO TRUTTA"	432	161997	"BROWN TROUT"	"Linnaeus, 1758"
"SAURIDA BRASILIENSIS"	433	162408	"LARGESCALE LIZARDFISH"	"Norman"
"SAURIDA NORMANI"	434	162411	"SHORTJAW LIZARDFISH"	"Longley"
"SYNODUS FOETENS"	435	162376	"INSHORE LIZARDFISH"	"(Linnaeus, 1766)"
"SYNODUS INTERMEDIUS"	436	162377	"SAND DIVER"	"Agassiz"
"SYNODUS POEYI"	437	162379	"OFFSHORE LIZARDFISH"	"Jordan"
"SYNODUS SYNODUS"	438	162382	"RED LIZARDFISH"	"(Linnaeus, 1758)"
"TRACHINOCEPHALUS MYOPS"	439	162420	"SNAKEFISH"	"Forster"
"ALEPISAURUS FEROX"	440	162527	"LONGNOSE LANCETFISH"	"Lowe, 1833"
"ARIUS FELIS"	441	164165	"HARDHEAD CATFISH"	"(Linnaeus, 1766)"
"BAGRE MARINUS"	442	164159	"GAFFTOPSAIL CATFISH"	"(Mitchill, 1815)"
"OPSANUS PARDUS"	443	164425	"LEOPARD TOADFISH"	"(Goode and Bean, 1879)"
"PORICHTHYS PLECTRODON"	444	164421	"ATLANTIC MIDSHIPMAN"	"Jordan and Gilbert, 1882"
"ANTENNARIUS OCELLATUS"	445	164524	"OCELLATED FROGFISH"	"(Bloch and Schneider, 1801)"
"ANTENNARIUS RADIOSUS"	446	164525	"SINGLESPOT FROGFISH"	"Garman, 1896"
"ANTENNARIUS STRIATUS"	447	164556	"STRIATED FROGFISH"	"(Shaw and Nodder, 1794)"
"HISTRIO HISTRIO"	448	164520	"SARGASSUMFISH"	"(Linnaeus, 1758)"
"HALIEUTICHTHYS ACULEATUS"	449	164594	"PANCAKE BATFISH"	"(Mitchill, 1818)"
"OGCOCEPHALUS NASUTUS"	450	164576	"SHORTNOSE BATFISH"	"(Valenciennes, 1837)"
"OGCOCEPHALUS PARVUS"	451	164578	"ROUGHBACK BATFISH"	"Longley and Hildebrand, 1940"
"OGCOCEPHALIDAE"	452	164573	"BATFISH UNCL"	NA
"MICROGADUS TOMCOD"	453	164720	"ATLANTIC TOMCOD"	"(Walbaum in Artedi, 1792)"
"UROPHYCIS EARLLII "	454	164736	"CAROLINA HAKE"	NA
"UROPHYCIS FLORIDANA"	455	164737	"SOUTHERN HAKE"	"(Bean and Dresel, 1884)"
"BROTULA BARBATA"	456	164818	"BEARDED BROTULA"	"(Schneider, 1801)"
"LEPOPHIDIUM JEANNAE"	457	164827	"MOTTLED CUSK-EEL"	"Fowler, 1941"
"OPHIDION GRAYI"	458	164841	"BLOTCHED CUSK-EEL"	"(Fowler, 1948)"
"OPHIDION HOLBROOKI"	459	164842	"BANK CUSK-EEL"	"(Putnam, 1874)"
"OPHIDION WELSHI"	460	164844	"CRESTED CUSK-EEL"	"(Nichols and Breder, 1922)"
"OPHIDIIDAE"	461	164807	"CUSK-EEL UNCL"	NA
"CARAPUS BERMUDENSIS"	462	165096	"PEARLFISH"	"(Jones, 1874)"
"CYPSELURUS CYANOPTERUS"	463	165436	"MARGINED FLYINGFISH"	"(Valenciennes, 1847)"
"CYPSELURUS FURCATUS"	464	165438	"SPOTFIN FLYINGFISH"	"(Mitchill, 1815)"
"CYPSELURUS MELANURUS"	465	165447	"ATLANTIC FLYINGFISH"	"(Valenciennes, 1847)"
"EULEPTORHAMPHUS VELOX"	466	165503	"FLYING HALFBEAK"	"Poey, 1868"
"EXOCOETUS OBTUSIROSTRIS"	467	165507	"OCEANIC TWO-WING FLYINGFISH"	"Guenther, 1866"
"HEMIRAMPHUS BRASILIENSIS"	468	165460	"BALLYHOO"	"(Linnaeus, 1758)"
"HIRUNDICHTHYS AFFINIS"	469	165516	"FOURWING FLYINGFISH"	"(Guenther, 1866)"
"PROGNICHTHYS GIBBIFRONS"	470	165524	"BLUNTNOSE FLYINGFISH"	"(Valenciennes, 1847)"
"STRONGYLURA MARINA"	471	165551	"ATLANTIC NEEDLEFISH"	"(Walbaum in Artedi, 1792)"
"CYPRINODON VARIEGATUS"	472	165631	"SHEEPSHEAD MINNOW"	"Lacepede, 1803"
"FUNDULUS HETEROCLITUS"	473	165647	"MUMMICHOG"	"(Linnaeus, 1766)"
"FUNDULUS MAJALIS"	474	165649	"STRIPED KILLIFISH"	"(Walbaum in Artedi, 1792)"
"MEMBRAS MARTINICA"	475	165989	"ROUGH SILVERSIDE"	"(Valenciennes in Cuvier and Valenciennes, 1835)"
"MENIDIA BERYLLINA"	476	165993	"TIDEWATER SILVERSIDE"	"(Cope, 1866)"
"CORNIGER SPINOSUS"	477	166251	"SPINYCHEEK SOLDIERFISH"	"Agassiz, 1829"
"HOLOCENTRUS ADSCENSIONIS"	478	166172	"SQUIRRELFISH"	"(Osbeck, 1765)"
"SARGOCENTRON BULLISI "	479	622109	"DEEPWATER SQUIRRELFISH"	NA
"HOLOCENTRUS RUFUS"	480	166173	"LONGSPINE SQUIRRELFISH"	"(Walbaum, 1792)"
"SARGOCENTRON VEXILLARIUM "	481	622110	"DUSKY SQUIRRELFISH"	NA
"MYRIPRISTIS JACOBUS"	482	166211	"BLACKBAR SOLDIERFISH"	"Cuvier, 1829"
"OSTICHTHYS TRACHYPOMA"	483	166240	"BIGEYE SOLDIERFISH"	"(Guenther, 1859)"
"PLECTRYPOPS RETROSPINIS"	484	166245	"CARDINAL SOLDIERFISH"	"(Guichenot, 1853)"
"HOLOCENTRIDAE"	485	166170	"SQUIRRELFISH UNCL"	NA
"ANTIGONIA COMBATIA"	486	166312	"SHORTSPINE BOARFISH"	"Berry and Rathjen, 1959"
"EUMECICHTHYS FISKI"	487	166338	"UNICORNFISH"	"(Guenther, 1890)"
"APELTES QUADRACUS"	488	166397	"FOURSPINE STICKLEBACK"	"(Mitchill, 1815)"
"FISTULARIA PETIMBA"	489	166417	"RED CORNETFISH"	"Lacepede, 1803"
"FISTULARIA "	490	166415	"CORNETFISH UNCL"	NA
"COSMOCAMPUS ALBIROSTRIS"	491	166597	"WHITENOSE PIPEFISH"	"(Kaup, 1856)"
"HIPPOCAMPUS ERECTUS"	492	166488	"LINED SEAHORSE"	"Perry, 1810"
"HIPPOCAMPUS REIDI"	493	166492	"LONGSNOUT SEAHORSE"	"Ginsburg, 1933"
"SYNGNATHUS FLORIDAE"	494	166446	"DUSKY PIPEFISH"	"(Jordan and Gilbert, 1882)"
"SYNGNATHUS LOUISIANAE"	495	166452	"CHAIN PIPEFISH"	"Guenther, 1870"
"SYNGNATHUS SPRINGERI"	496	166455	"BULL PIPEFISH"	"Herald, 1942"
"CENTROPOMUS UNDECIMALIS"	497	167648	"COMMON SNOOK"	"(Bloch, 1792)"
"EPINEPHELUS AFER"	498	167745	"MUTTON HAMLET"	"Bloch, 1793 (syn)"
"ANTHIAS ASPERILINGUIS"	499	167770	"CRIMSON BASS"	"Gunther"
"ANTHIAS NICHOLSI"	500	167771	"YELLOWFIN BASS"	"Firth, 1933"
"CEPHALOPODA"	501	82326	"SQUID CUTTLEFISH AND OCTOPOD UNCL"	"Cuvier, 1797"
"ILLEX ILLECEBROSUS"	502	82521	"NORTHERN SHORTFIN SQUID"	"(Lesueur, 1821)"
"LOLIGO PEALEII"	503	82372	"LONGFIN SQUID"	"Lesueur, 1821"
"LOLLIGUNCULA BREVIS"	504	82379	"ATLANTIC BRIEF SQUID"	"(Blainville, 1823)"
"LOLIGO PLEI"	505	82373	"ARROW SQUID"	NA
"SEPIOLIDAE"	506	82335	"BOBTAIL UNCL"	"Leach, 1817"
"SEMIROSSIA TENERA"	507	82340	"LESSER SHINING BOBTAIL"	"(Verrill, 1880)"
"STOLOTEUTHIS LEUCOPTERA"	508	82355	"SHIELD BOBTAIL"	"(Verrill, 1878)"
"ABRALIA VERANYI"	509	82407	"RUPPELL'S ABRALIA"	"(Ruppell, 1844)"
"OCTOPODA"	510	82589	"OCTOPUS UNCL"	"Leach, 1818"
"OCTOPUS VULGARIS"	511	82603	"COMMON OCTOPUS"	"Cuvier, 1797"
"BATHYPOLYPUS ARCTICUS"	512	82636	"SPOONARM OCTOPUS"	"(Prosch, 1847)"
"SCAEURGUS UNICIRRHUS"	513	82652	"UNICORN OCTOPUS"	"(Chiaie, 1839-41 in Ferussac and D'Orbigny, 1834-1848)"
"ROSSIA MEGAPTERA"	514	82353	"VERRILL'S BOBTAIL"	"Verrill, 1881 in 1880-1881"
"ROSSIA PALPEBROSA"	515	82348	"OWEN'S BOBTAIL"	"Owen, 1834"
"PORTUNUS SPINIMANUS"	516	98721	"BLOTCHED SWIMMING CRAB"	"Latreille, 1819"
"BATHYNECTES LONGISPINA"	517	98694	"BATHYAL SWIMMING CRAB"	"Stimpson, 1871"
"ARENAEUS CRIBRARIUS"	518	98691	"SPECKLED SWIMMING CRAB"	"(Lamarck, 1818)"
"ILLEX ILLECEBROSUS EGG MOPS"	519	NA	"NORTHERN SHORTFIN SQUID EGG MOPS"	NA
"LOLIGO PEALEII EGG MOPS"	520	NA	"LONGFIN SQUID EGG MOPS"	NA
"SCHULTZEA BETA"	523	167846	"SCHOOL BASS"	"(Hildebrand,1940)"
"MYCTEROPERCA INTERSTITIALIS"	524	167762	"YELLOWMOUTH GROUPER"	"(Poey, 1860)"
"CENTROPRISTIS OCYURUS"	526	167690	"BANK SEA BASS"	"(Jordan and Evermann, 1887)"
"CENTROPRISTIS PHILADELPHICA"	527	167691	"ROCK SEA BASS"	"(Linnaeus, 1758)"
"EPINEPHELUS INERMIS"	528	167743	"MARBLED GROUPER"	"(Valenciennes, 1833) (syn)"
"DIPLECTRUM BIVITTATUM"	529	167796	"DWARF SAND PERCH"	"(Valenciennes, 1828)"
"DIPLECTRUM FORMOSUM"	530	167793	"SAND PERCH"	"(Linnaeus, 1766)"
"EPINEPHELUS ADSCENSIONIS"	531	167696	"ROCK HIND"	"(Osbeck, 1765)"
"EPINEPHELUS DRUMMONDHAYI"	532	167698	"SPECKLED HIND"	"Goode and Bean, 1879"
"EPINEPHELUS FLAVOLIMBATUS"	533	167699	"YELLOWEDGE GROUPER"	"Poey, 1865"
"EPINEPHELUS GUTTATUS"	534	167700	"RED HIND"	"(Linnaeus, 1758)"
"EPINEPHELUS MORIO"	535	167702	"RED GROUPER"	"(Valenciennes, 1828)"
"EPINEPHELUS NIGRITUS"	536	167704	"WARSAW GROUPER"	"(Holbrook, 1855)"
"EPINEPHELUS NIVEATUS"	537	167705	"SNOWY GROUPER"	"(Valenciennes, 1828)"
"EPINEPHELUS STRIATUS"	538	167706	"NASSAU GROUPER"	"(Bloch, 1792)"
"HEMANTHIAS VIVANUS"	539	167801	"RED BARBIER"	"(Jordan and Swain, 1884)"
"MYCTEROPERCA BONACI"	540	167760	"BLACK GROUPER"	"(Poey, 1860)"
"MYCTEROPERCA MICROLEPIS"	541	167759	"GAG"	"(Goode and Bean, 1880)"
"MYCTEROPERCA PHENAX"	542	167763	"SCAMP"	"Jordan and Swain, 1885"
"MYCTEROPERCA VENENOSA"	543	167764	"YELLOWFIN GROUPER"	"(Linnaeus, 1758)"
"HOLANTHIAS MARTINICENSIS"	544	167931	"ROUGHTONGUE BASS"	"(Guichenot, 1868)"
"PARANTHIAS FURCIFER"	545	167838	"CREOLE-FISH"	"(Valenciennes, 1828)"
"HEMANTHIAS AUREORUBENS"	546	167803	"STREAMER BASS"	"(Longley, 1935)"
"SERRANICULUS PUMILIO"	547	167848	"PYGMY SEA BASS"	"Ginsburg, 1952"
"SERRANUS ANNULARIS"	548	167850	"ORANGEBACK BASS"	"(Guenther, 1880)"
"SERRANUS ATROBRANCHUS"	549	167851	"BLACKEAR BASS"	"(Cuvier, 1829)"
"SERRANUS BALDWINI"	550	167852	"LANTERN BASS"	"(Evermann and Marsh, 1900)"
"SERRANUS NOTOSPILUS"	551	167856	"SADDLE BASS"	"Longley, 1935"
"SERRANUS PHOEBE"	552	167857	"TATTLER"	"Poey, 1852"
"SERRANUS SUBLIGARIUS"	553	167858	"BELTED SANDFISH"	"(Cope, 1870)"
"SERRANIDAE"	554	167674	"SEA BASS UNCL"	NA
"RYPTICUS BISTRISPINUS"	555	167985	"FRECKLED SOAPFISH"	"(Mitchill, 1818)"
"PRIACANTHUS CRUENTATUS"	556	168179	"GLASSEYE SNAPPER"	"(Lacepede, 1801)"
"PRISTIGENYS ALTA"	557	168190	"SHORT BIGEYE"	"(Gill, 1862)"
"APOGON MACULATUS"	558	168204	"FLAMEFISH"	"(Poey, 1860)"
"APOGON PSEUDOMACULATUS"	559	168207	"TWOSPOT CARDINALFISH"	"Longley, 1932"
"CAULOLATILUS CYANOPS"	562	168541	"BLACKLINE TILEFISH"	"Poey, 1866"
"RACHYCENTRON CANADUM"	563	168566	"COBIA"	"(Linnaeus, 1766)"
"ECHENEIS NAUCRATES"	564	168575	"SHARKSUCKER"	"Linnaeus, 1758"
"REMORA BRACHYPTERA"	565	168572	"SPEARFISH REMORA"	"(Lowe, 1839)"
"REMORA OSTEOCHIR"	566	168570	"MARLINSUCKER"	"(Cuvier, 1829)"
"REMORA REMORA"	567	168571	"REMORA"	"(Linnaeus, 1758)"
"ALECTIS CILIARIS"	568	168602	"AFRICAN POMPANO"	"(Bloch, 1787)"
"CARANX BARTHOLOMAEI"	569	168606	"YELLOW JACK"	"Cuvier, 1833"
"CARANX HIPPOS"	570	168609	"CREVALLE JACK"	"(Linnaeus, 1766)"
"CARANX LATUS"	571	168610	"HORSE-EYE JACK"	"Agassiz in Spix and Agassiz, 1831"
"CARANX RUBER"	572	168614	"BAR JACK"	"(Bloch, 1793)"
"CHLOROSCOMBRUS CHRYSURUS"	573	168670	"ATLANTIC BUMPER"	"(Linnaeus, 1766)"
"ELAGATIS BIPINNULATA"	574	168738	"RAINBOW RUNNER"	"(Quoy and Gaimard, 1824)"
"HEMICARANX AMBLYRHYNCHUS"	575	168740	"BLUNTNOSE JACK"	"(Cuvier, 1833)"
"NAUCRATES DUCTOR"	576	168742	"PILOTFISH"	"(Linnaeus, 1758)"
"OLIGOPLITES SAURUS"	577	168673	"LEATHERJACK"	"(Bloch and Schneider, 1801)"
"SERIOLA RIVOLIANA"	578	168691	"ALMACO JACK"	"Valenciennes, 1833"
"TRACHINOTUS CAROLINUS"	579	168708	"FLORIDA POMPANO"	"(Linnaeus, 1766)"
"TRACHINOTUS FALCATUS"	580	168709	"PERMIT"	"(Linnaeus, 1758)"
"TRACHINOTUS GOODEI"	581	168710	"PALOMETA"	"Jordan and Evermann, 1896"
"CARANGIDAE"	582	168584	"JACK POMPANO UNCL"	NA
"CORYPHAENA EQUISELIS "	583	168792	"POMPANO DOLPHIN"	NA
"CORYPHAENA HIPPURUS"	584	168791	"DOLPHIN"	"Linnaeus, 1758"
"BRAMA BRAMA"	585	170290	"ATLANTIC POMFRET"	"(Bonnaterre, 1758)"
"LUTJANUS ANALIS"	586	168849	"MUTTON SNAPPER"	"(Cuvier, 1828)"
"LUTJANUS APODUS"	587	168850	"SCHOOLMASTER"	"(Walbaum in Artedi, 1792)"
"LUTJANUS BUCCANELLA"	588	168852	"BLACKFIN SNAPPER"	"(Cuvier, 1828)"
"LUTJANUS CAMPECHANUS"	589	168853	"RED SNAPPER"	"(Poey, 1860)"
"LUTJANUS GRISEUS"	590	168848	"GRAY SNAPPER"	"(Linnaeus, 1758)"
"LUTJANUS JOCU"	591	168857	"DOG SNAPPER"	"(Bloch and Schneider, 1801)"
"LUTJANUS SYNAGRIS"	592	168860	"LANE SNAPPER"	"(Linnaeus, 1758)"
"LUTJANUS VIVANUS"	593	168861	"SILK SNAPPER"	"(Cuvier in Cuvier and Valenciennes, 1828)"
"OCYURUS CHRYSURUS"	594	168907	"YELLOWTAIL SNAPPER"	"(Bloch, 1790)"
"PRISTIPOMOIDES AQUILONARIS"	595	168913	"WENCHMAN"	"(Goode and Bean, 1896)"
"RHOMBOPLITES AURORUBENS"	596	168909	"VERMILION SNAPPER"	"(Cuvier in Cuvier and Valenciennes, 1829)"
"LUTJANIDAE"	597	168845	"SNAPPER UNCL"	NA
"LOBOTES SURINAMENSIS"	598	169007	"TRIPLETAIL"	"(Bloch, 1790)"
"EUCINOSTOMUS GULA"	599	169016	"SILVER JENNY"	"(Quoy and Gaimard, 1824)"
"SQUALIDAE"	600	160604	NA	"Blainville, 1816"
"ETMOPTERUS GRACILISPINIS"	601	160669	"BROADBAND DOGFISH"	"Krefft, 1968"
"ETMOPTERUS HILLIANUS"	602	160657	"CARIBBEAN LANTERNSHARK"	"(Poey, 1861)"
"CENTROSCYMNUS COELOLEPIS"	603	160724	"PORTUGUESE SHARK"	"Bocage and Capello, 1864"
"ACANTHOCARPUS ALEXANDRI"	604	98355	"GLADIATOR BOX CRAB"	"Stimpson, 1871"
"COOKEOLUS JAPONICUS"	616	168195	"BULLEYE"	"(Cuvier, 1829)"
"XENOLEPIDICHTHYS DALGLEISHI"	617	166302	"SPOTTED TINSELFISH"	"Gilchrist, 1922"
"GRAMMATIDAE"	618	553216	"BASSLET UNCL"	NA
"POMACENTRIDAE"	619	170044	"DAMSELFISH UNCL"	NA
"SPHYRAENA "	620	170425	"BARRACUDAS"	NA
"CAULOLATILUS MICROPS"	621	168543	"BLUELINE TILEFISH"	"Goode and Bean, 1878"
"CAULOLATILUS CHRYSOPS"	622	168544	"GOLDFACE TILEFISH"	"(Valenciennes, 1833)"
