"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"CAULOLATILUS INTERMEDIUS"	623	168542	"ANCHOR TILEFISH"	"Howell Rivero, 1936"
"MALACANTHUS PLUMIERI"	624	168548	"SAND TILEFISH"	"(Bloch, 1787)"
"GERREIDAE"	625	169013	"MOJARRA UNCL"	NA
"ANISOTREMUS VIRGINICUS"	626	169086	"PORKFISH"	"(Linnaeus, 1758)"
"HAEMULON AUROLINEATUM"	627	169058	"TOMTATE"	"Cuvier, 1830"
"HAEMULON CARBONARIUM"	628	169063	"CAESAR GRUNT"	"Poey, 1860"
"HAEMULON PLUMIERI"	629	169059	"WHITE GRUNT"	"(Lacepede, 1801)"
"HAEMULIDAE"	630	169055	"GRUNT UNCL"	NA
"ARCHOSARGUS PROBATOCEPHALUS"	631	169189	"SHEEPSHEAD"	"(Walbaum in Artedi, 1792)"
"CALAMUS BAJONADO"	632	169197	"JOLTHEAD PORGY"	"(Schneider, 1801)"
"CALAMUS CALAMUS"	633	169198	"SAUCEREYE PORGY"	"(Valenciennes, 1830)"
"CALAMUS LEUCOSTEUS"	634	169200	"WHITEBONE PORGY"	"Jordan and Gilbert, 1885"
"CALAMUS NODOSUS"	635	169201	"KNOBBED PORGY"	"Randall and Caldwell, 1966"
"CALAMUS PENNA"	636	169205	"SHEEPSHEAD PORGY"	"(Valenciennes, 1830)"
"CALAMUS PRORIDENS"	637	169203	"LITTLEHEAD PORGY"	"Jordan and Gilbert, 1884"
"DIPLODUS ARGENTEUS"	638	169193	"SILVER PORGY"	"(Valenciennes, 1830)"
"DIPLODUS HOLBROOKII "	639	169192	"SPOTTAIL PINFISH"	NA
"LAGODON RHOMBOIDES"	640	169187	"PINFISH"	"(Linnaeus, 1766)"
"PAGRUS SEDECIM"	641	169208	"RED PORGY"	"Ginsburg"
"SPARIDAE"	643	169180	"PORGY AND PINFISH UNCL"	NA
"CYNOSCION ARENARIUS"	644	169243	"SAND SEATROUT"	"Ginsberg, 1930"
"CYNOSCION NEBULOSUS"	645	169239	"SPOTTED SEATROUT"	"(Cuvier in Cuvier and Valenciennes, 1830)"
"CYNOSCION NOTHUS"	646	169240	"SILVER SEATROUT"	"(Holbrook, 1855)"
"EQUETUS ACUMINATUS"	647	169313	"HIGH-HAT"	"(Schneider, 1801)"
"EQUETUS LANCEOLATUS"	648	169314	"JACKKNIFE-FISH"	"(Linnaeus, 1758)"
"EQUETUS PUNCTATUS"	649	169317	"SPOTTED DRUM"	"(Schneider, 1801)"
"EQUETUS UMBROSUS"	650	169318	"CUBBYU"	"Jordan and Eigenmann, 1889"
"LARIMUS FASCIATUS"	651	169269	"BANDED DRUM"	"Holbrook, 1855"
"MENTICIRRHUS AMERICANUS"	652	169274	"SOUTHERN KINGFISH"	"(Linnaeus, 1758)"
"MENTICIRRHUS LITTORALIS"	653	169275	"GULF KINGFISH"	"(Holbrook, 1855)"
"SCIAENOPS OCELLATUS"	654	169290	"RED DRUM"	"(Linnaeus, 1766)"
"STELLIFER LANCEOLATUS"	655	169292	"STAR DRUM"	"(Holbrook, 1855)"
"PSEUDUPENEUS MACULATUS"	656	169421	"SPOTTED GOATFISH"	"(Bloch, 1793)"
"UPENEUS PARVUS"	657	169441	"DWARF GOATFISH"	"Poey, 1853"
"KYPHOSUS SECTATRIX"	658	169506	"BERMUDA CHUB"	"(Linnaeus, 1758)"
"CHAETODIPTERUS FABER"	659	169539	"ATLANTIC SPADEFISH"	"(Broussonet, 1782)"
"CHAETODON AYA"	660	169557	"BANK BUTTERFLYFISH"	"Jordan, 1886"
"CHAETODON CAPISTRATUS"	661	169558	"FOUREYE BUTTERFLYFISH"	"Linnaeus, 1758"
"CHAETODON OCELLATUS"	662	169556	"SPOTFIN BUTTERFLYFISH"	"Bloch, 1787"
"CHAETODON SEDENTARIUS"	663	169562	"REEF BUTTERFLYFISH"	"Poey, 1860"
"CHAETODON STRIATUS"	664	169563	"BANDED BUTTERFLYFISH"	"Linnaeus, 1758"
"HOLACANTHUS BERMUDENSIS"	665	169626	"BLUE ANGELFISH"	"Goode, 1876"
"HOLACANTHUS CILIARIS"	666	169623	"QUEEN ANGELFISH"	"(Linnaeus, 1758)"
"HOLACANTHUS TRICOLOR"	667	169625	"ROCK BEAUTY"	"(Bloch, 1795)"
"POMACANTHUS ARCUATUS"	668	169632	"GRAY ANGELFISH"	"(Linnaeus, 1758)"
"ABUDEFDUF SAXATILIS"	669	170046	"SERGEANT MAJOR"	"(Linnaeus, 1758)"
"CHROMIS ENCHRYSURUS"	670	170081	"YELLOWTAIL REEFFISH"	"Jordan and Gilbert, 1882"
"CHROMIS INSOLATA"	671	170082	"SUNSHINEFISH"	"(Cuvier, 1830)"
"POMACENTRUS LEUCOSTICTUS"	672	170180	"BEAUGREGORY"	"Mueller and Troschel, 1848"
"BODIANUS PULCHELLUS"	673	170483	"SPOTFIN HOGFISH"	"(Poey, 1860)"
"CLEPTICUS PARRAE"	674	170496	"CREOLE WRASSE"	"(Bloch and Schneider, 1801)"
"DECODON PUELLARIS"	675	170498	"RED HOGFISH"	"(Poey, 1860)"
"HALICHOERES BATHYPHILUS"	676	170502	"GREENBAND WRASSE"	"(Beebe and Tee-van, 1932)"
"HALICHOERES BIVITTATUS"	677	170503	"SLIPPERY DICK"	"(Bloch, 1791)"
"HALICHOERES CAUDALIS"	678	170504	"PAINTED WRASSE"	"(Poey, 1860)"
"HALICHOERES POEYI"	679	170509	"BLACKEAR WRASSE"	"(Steindachner, 1867)"
"HALICHOERES RADIATUS"	680	170510	"PUDDINGWIFE"	"(Linnaeus, 1758)"
"HEMIPTERONOTUS NOVACULA"	681	170537	"PEARLY RAZORFISH"	"(Linnaeus, 1758)"
"LACHNOLAIMUS MAXIMUS"	682	170566	"HOGFISH"	"(Walbaum, 1792)"
"LABRIDAE"	683	170477	"WRASSE UNCL"	NA
"CRYPTOTOMUS ROSEUS"	684	170857	"BLUELIP PARROTFISH"	"Cope, 1871"
"NICHOLSINA USTA"	685	170860	"EMERALD PARROTFISH"	"(Valenciennes, 1839)"
"SCARUS COERULEUS"	686	170811	"BLUE PARROTFISH"	"(Bloch, 1786)"
"SPARISOMA RADIANS"	687	170865	"BUCKTOOTH PARROTFISH"	"(Valenciennes, 1839)"
"SCARIDAE"	688	170809	"PARROTFISH UNCL"	NA
"MUGIL CEPHALUS"	689	170335	"STRIPED MULLET"	"Linnaeus, 1758"
"MUGIL CUREMA"	690	170336	"WHITE MULLET"	"Valenciennes in Cuvier and Valenciennes, 1836"
"MUGIL LIZA"	691	170338	"LIZA"	"Valenciennes in Cuvier and Valenciennes, 1836"
"MUGIL GYRANS"	692	170351	"FANTAIL MULLET"	"(Jordan and Gilbert, 1884)"
"SPHYRAENA BARRACUDA"	693	170429	"GREAT BARRACUDA"	"(Walbaum in Artedi, 1792)"
"SPHYRAENA BOREALIS"	694	170427	"NORTHERN SENNET"	"De Kay, 1842"
"SPHYRAENA GUACHANCHO"	695	170428	"GUAGUANCHE"	"Cuvier, 1829"
"OPISTOGNATHUS LONCHURUS"	696	170926	"MOUSTACHE JAWFISH"	"(Jordan and Gilbert, 1882)"
"OPISTOGNATHUS MAXILLOSUS"	697	170927	"MOTTLED JAWFISH"	"(Poey, 1860)"
"BEMBROPS GOBIOIDES"	698	170998	"GOBY FLATHEAD"	"(Goode, 1880)"
"ASTROSCOPUS Y-GRAECUM"	699	171056	"SOUTHERN STARGAZER"	"(Cuvier, 1829)"
"XIPHIAS GLADIUS"	700	172482	"SWORDFISH"	"Linnaeus, 1758"
"AUXIS ROCHEI"	701	172455	"BULLET MACKEREL"	"(Risso, 1810)"
"AUXIS THAZARD"	702	172456	"FRIGATE MACKEREL"	"(Lacepede, 1800)"
"THUNNUS ALALUNGA"	703	172419	"ALBACORE"	"(Bonnaterre, 1788)"
"THUNNUS ALBACARES"	704	172423	"YELLOWFIN TUNA"	"(Bonnaterre, 1788)"
"THUNNUS ATLANTICUS"	705	172427	"BLACKFIN TUNA"	"(Lesson, 1830)"
"THUNNUS OBESUS"	706	172428	"BIGEYE TUNA"	"(Lowe, 1839)"
"MAKAIRA NIGRICANS"	707	172491	"BLUE MARLIN"	"Lacepede, 1802"
"TETRAPTURUS ALBIDUS"	708	172499	"WHITE MARLIN"	"Poey, 1860"
"XENOCEPHALUS EGREGIUS "	725	630400	"FRECKLED STARGAZER"	NA
"KATHETOSTOMA ALBIGUTTA"	726	171061	"LANCER STARGAZER"	"(Bean, 1892)"
"CLINIDAE"	727	171396	"CLINID UNCL"	NA
"PARABLENNIUS MARMOREUS"	728	171304	"SEAWEED BLENNY"	"(Poey, 1876)"
"CHASMODES BOSQUIANUS"	729	171164	"STRIPED BLENNY"	"(Lacepede, 1800)"
"HYPLEUROCHILUS GEMINATUS"	730	171198	"CRESTED BLENNY"	"(Wood, 1825)"
"HYPSOBLENNIUS HENTZ"	731	171156	"FEATHER BLENNY"	"(Lesueur, 1825)"
"HYPSOBLENNIUS IONTHAS"	732	171157	"FRECKLED BLENNY"	"(Jordan and Gilbert, 1882)"
"BLENNIIDAE"	733	171124	"COMBTOOTH BLENNY UNCL"	NA
"AMMODYTES AMERICANUS"	734	171673	"AMERICAN SAND LANCE"	"De Kay, 1842"
"FOETOREPUS AGASSIZI"	735	171740	"SPOTFIN DRAGONET"	"(Goode and Bean, 1888)"
"DORMITATOR MACULATUS"	736	171919	"FAT SLEEPER"	"(Bloch, 1792)"
"BATHYGOBIUS SOPORATOR"	737	171820	"FRILLFIN GOBY"	"(Valenciennes in Cuvier and Valenciennes, 1837)"
"GOBIOSOMA BOSC"	738	171789	"NAKED GOBY"	"(Lacepede, 1800)"
"GOBIIDAE"	739	171746	"GOBY UNCL"	NA
"ACANTHURUS BAHIANUS"	740	172252	"OCEAN SURGEON"	"Castelnau, 1855"
"ACANTHURUS CHIRURGUS"	741	172253	"DOCTORFISH"	"(Bloch, 1787)"
"ACANTHURUS COERULEUS"	742	172254	"BLUE TANG"	"Schneider, 1801"
"EUTHYNNUS ALLETTERATUS"	743	172402	"LITTLE TUNNY"	"(Rafinesque, 1810)"
"SCOMBEROMORUS CAVALLA"	744	172435	"KING MACKEREL"	"(Cuvier, 1829)"
"SCOMBEROMORUS MACULATUS"	745	172436	"SPANISH MACKEREL"	"(Mitchill, 1815)"
"SCOMBEROMORUS REGALIS"	746	172437	"CERO"	"(Bloch, 1793)"
"THUNNUS THYNNUS"	747	172421	"BLUEFIN TUNA"	"(Linnaeus, 1758)"
"ARIOMMA REGULUS"	748	172540	"SPOTTED DRIFTFISH"	"(Poey, 1868)"
"PEPRILUS ALEPIDOTUS"	749	172570	"HARVESTFISH"	"(Linnaeus, 1766)"
"STROMATEIDAE"	750	172563	"BUTTERFISH UNCL"	NA
"NEOMERINTHE HEMINGWAYI"	751	166794	"SPINYCHEEK SCORPIONFISH"	"Fowler, 1935"
"PONTINUS RATHBUNI"	752	166803	"HIGHFIN SCORPIONFISH"	"Goode and Bean, 1896"
"SCORPAENA AGASSIZI"	753	166812	"LONGFIN SCORPIONFISH"	"Goode and Bean, 1896"
"SCORPAENA BRASILIENSIS"	754	166816	"BARBFISH"	"Cuvier, 1829"
"SCORPAENA CALCARATA"	755	166817	"SMOOTHHEAD SCORPIONFISH"	"Goode and Bean, 1882"
"SCORPAENA DISPAR"	756	166818	"HUNCHBACK SCORPIONFISH"	"Longley and Hildebrand, 1940"
"SCORPAENA GRANDICORNIS"	757	166820	"PLUMED SCORPIONFISH"	"Cuvier, 1829"
"SCORPAENA PLUMIERI"	758	166825	"SPOTTED SCORPIONFISH"	"Bloch, 1789"
"SCORPAENIDAE"	759	166704	"SCORPIONFISH AND ROCKFISH UNCL"	NA
"BELLATOR BRACHYCHIR"	760	166998	"SHORTFIN SEAROBIN"	"(Regan, 1914)"
"BELLATOR EGRETTA"	761	166999	"STREAMER SEAROBIN"	"(Goode and Bean, 1896)"
"BELLATOR MILITARIS"	762	167000	"HORNED SEAROBIN"	"(Goode and Bean, 1896)"
"PERISTEDION GRACILE"	763	167006	"SLENDER SEAROBIN"	"Goode and Bean, 1896"
"PRIONOTUS ALATUS"	764	166978	"SPINY SEAROBIN"	"Goode and Bean, 1883"
"PRIONOTUS OPHRYAS"	765	166986	"BANDTAIL SEAROBIN"	"Jordan and Swain, 1884"
"PRIONOTUS ROSEUS"	766	166990	"BLUESPOTTED SEAROBIN"	"Jordan and Evermann, 1896"
"PRIONOTUS LONGISPINOSUS"	767	166996	"BIGEYE SEAROBIN"	"Teague, 1951"
"PRIONOTUS RUBIO"	768	166991	"BLACKWING SEAROBIN"	"Jordan, 1886"
"PRIONOTUS SCITULUS"	769	166976	"LEOPARD SEAROBIN"	"Jordan and Gilbert, 1882"
"PRIONOTUS TRIBULUS"	770	166977	"BIGHEAD SEAROBIN"	"Cuvier, 1829"
"MYOXOCEPHALUS QUADRICORNIS"	772	167316	"FOURHORN SCULPIN"	"(Linnaeus, 1758)"
"PLEURONECTIDAE"	773	172859	"RIGHTEYE FLOUNDER UNCL"	NA
"ANCYLOPSETTA DILECTA"	774	172754	"THREE-EYE FLOUNDER"	"(Goode and Bean, 1883)"
"ANCYLOPSETTA QUADROCELLATA"	775	172757	"OCELLATED FLOUNDER"	"Gill, 1884"
"BOTHUS LUNATUS"	776	172759	"PEACOCK FLOUNDER"	"(Linnaeus, 1758)"
"BOTHUS OCELLATUS"	777	172761	"EYED FLOUNDER"	"(Agassiz, 1831)"
"CHASCANOPSETTA LUGUBRIS"	778	172773	"PELICAN FLOUNDER"	"Alcock, 1894"
"CITHARICHTHYS ARENACEUS"	779	172720	"SAND WHIFF"	"Evermann and Marsh, 1900"
"CITHARICHTHYS CORNUTUS"	780	172721	"HORNED WHIFF"	"(Guenther, 1880)"
"CITHARICHTHYS MACROPS"	781	172724	"SPOTTED WHIFF"	"Dresel, 1885"
"CITHARICHTHYS SPILOPTERUS"	782	172725	"BAY WHIFF"	"Guenther, 1862"
"CYCLOPSETTA FIMBRIATA"	783	172777	"SPOTFIN FLOUNDER"	"(Goode and Bean, 1885)"
"ENGYOPHRYS SENTA"	784	172779	"SPINY FLOUNDER"	"Ginsburg, 1933"
"ETROPUS CROSSOTUS"	785	172729	"FRINGED FLOUNDER"	"Jordan and Gilbert, 1882"
"ETROPUS RIMOSUS"	786	172732	"GRAY FLOUNDER"	"Goode and Bean, 1885"
"GASTROPSETTA FRONTALIS"	787	172781	"SHRIMP FLOUNDER"	"Bean, 1895"
"PARALICHTHYS ALBIGUTTA"	788	172736	"GULF FLOUNDER"	"Jordan and Gilbert, 1882"
"PARALICHTHYS LETHOSTIGMA"	789	172738	"SOUTHERN FLOUNDER"	"Jordan and Gilbert, 1884"
"PARALICHTHYS SQUAMILENTUS"	790	172740	"BROAD FLOUNDER"	"Jordan and Gilbert, 1882"
"SYACIUM GUNTERI"	791	172791	"SHOAL FLOUNDER"	"Ginsburg, 1933"
"SYACIUM MICRURUM"	792	172792	"CHANNEL FLOUNDER"	"Ranzani, 1840"
"SYACIUM PAPILLOSUM"	793	172793	"DUSKY FLOUNDER"	"(Linnaeus, 1758)"
"ETROPUS "	794	172728	"ETROPUS UNCL"	NA
"BOTHIDAE"	795	172714	"LEFTEYE FLOUNDER UNCL"	NA
"GYMNACHIRUS MELAS"	796	172991	"NAKED SOLE"	"(Nichols, 1916)"
"SYMPHURUS CIVITATUS"	797	173063	"OFFSHORE TONGUEFISH"	"Ginsburg, 1951"
"SYMPHURUS DIOMEDIANUS"	798	173064	"SPOTTEDFIN TONGUEFISH"	"(Goode and Bean, 1886)"
"SYMPHURUS MINOR"	799	173066	"LARGESCALE TONGUEFISH"	"Ginsburg, 1951"
"BALISTIDAE"	820	173128	"TRIGGERFISH FILEFISH UNCL"	NA
"SYMPHURUS MARGINATUS"	821	173065	"SLENDER TONGUEFISH"	NA
"TRICHIURIDAE"	822	172378	"SNAKE MACKEREL UNCL"	NA
"RUVETTUS PRETIOSUS"	823	172364	"OILFISH"	"Cocco, 1829"
"LEPIDOCYBIUM FLAVOBRUNNEUM"	824	172362	"ESCOLAR"	"(Smith, 1849)"
"SYMPHURUS PLAGIUSA"	825	173062	"BLACKCHEEK TONGUEFISH"	"(Linnaeus, 1766)"
"SYMPHURUS PUSILLUS"	826	173070	"NORTHERN TONGUEFISH"	"(Goode and Bean, 1885)"
"SYMPHURUS UROSPILUS"	827	173071	"SPOTTAIL TONGUEFISH"	"(Ginsberg, 1951)"
"PARAHOLLARDIA LINEATA"	829	173121	"JAMBEAU"	"(Longley, 1935)"
"ALUTERUS HEUDELOTI"	830	173132	"DOTTEREL FILEFISH"	"Hollard, 1855"
"ALUTERUS MONOCEROS"	831	173133	"UNICORN FILEFISH"	"(Linnaeus, 1758)"
"ALUTERUS SCHOEPFI"	832	173131	"ORANGE FILEFISH"	"(Walbaum, 1792)"
"ALUTERUS SCRIPTUS"	833	173134	"SCRAWLED FILEFISH"	"(Osbeck, 1765)"
"BALISTES VETULA"	834	173139	"QUEEN TRIGGERFISH"	"Linnaeus, 1758"
"CANTHIDERMIS SUFFLAMEN"	835	173170	"OCEAN TRIGGERFISH"	"(Mitchill, 1815)"
"MONACANTHUS CILIATUS"	836	173179	"FRINGED FILEFISH"	"(Mitchill, 1818)"
"LACTOPHRYS BICAUDALIS"	837	173238	"SPOTTED TRUNKFISH"	"(Linnaeus, 1758)"
"LACTOPHRYS POLYGONIA"	838	173241	"HONEYCOMB COWFISH"	"(Poey, 1876)"
"LACTOPHRYS QUADRICORNIS"	839	173240	"SCRAWLED COWFISH"	"(Linnaeus, 1758)"
"LACTOPHRYS TRIGONUS"	840	173237	"TRUNKFISH"	"(Linnaeus, 1758)"
"LACTOPHRYS TRIQUETER"	841	173239	"SMOOTH TRUNKFISH"	"(Linnaeus, 1758)"
"CANTHIGASTER ROSTRATA"	842	173320	"SHARPNOSE PUFFER"	"(Bloch, 1782)"
"SPHOEROIDES DORSALIS"	843	173294	"MARBLED PUFFER"	"Longley, 1934"
"SPHOEROIDES NEPHELUS"	844	173297	"SOUTHERN PUFFER"	"(Goode and Bean, 1882)"
"SPHOEROIDES SPENGLERI"	845	173300	"BANDTAIL PUFFER"	"(Bloch, 1782)"
"SPHOEROIDES TESTUDINEUS"	846	173291	"CHECKERED PUFFER"	"(Linnaeus, 1758)"
"CHILOMYCTERUS ANTILLARUM"	847	173386	"WEB BURRFISH"	"Jordan and Rutter, 1897"
"CHILOMYCTERUS ATINGA"	848	173387	"SPOTTED BURRFISH"	"(Linnaeus, 1758)"
"DIODON HOLOCANTHUS"	849	173392	"BALLOONFISH"	"Linnaeus, 1758"
"DIODON HYSTRIX"	850	173391	"PORCUPINEFISH"	"Linnaeus, 1758"
"ENGRAULIDAE"	851	553173	"ANCHOVY UNCL"	NA
"SYNODONTIDAE"	852	162374	"LIZARDFISH UNCL"	NA
"PARALICHTHYS "	853	172734	"SUMMER FLOUNDERS"	NA
"POMACENTRUS VARIABILIS"	854	170186	"COCOA DAMSELFISH"	"Castelnau, 1855"
"CHAETODONTIDAE"	855	169554	"BUTTERFLYFISH UNCL"	NA
"ARGENTINA STRIATA"	856	162067	"STRIATED ARGENTINE"	"Goode and Bean, 1895"
"URANOSCOPIDAE"	857	171053	"STARGAZER UNCL"	NA
"SCIAENIDAE"	858	169237	"DRUM UNCL"	NA
"ANCHOA LYOLEPIS"	859	161842	"DUSKY ANCHOVY"	"(Evermann and Marsh, 1900)"
"SCOMBRIDAE"	860	172398	"MACKEREL AND TUNA UNCL"	NA
"TETRAODONTIDAE"	861	173283	"PUFFER UNCL"	NA
"CHAUNAX STIGMAEUS"	862	164572	"REDEYE GAPER"	"Fowler, 1946"
"EPINEPHELUS MYSTACINUS"	863	167703	"MISTY GROUPER"	"(Poey, 1852)"
"PROGNATHODES ACULEATUS"	864	169593	"LONGSNOUT BUTTERFLYFISH"	"(Poey, 1860)"
"ENGRAULIS EURYSTOLE"	865	161830	"SILVER ANCHOVY"	"(Swain and Meek, 1884)"
"CITHARICHTHYS "	866	172715	"SANDDABS"	NA
"LAEMONEMA BARBATULUM"	867	164675	NA	"Goode and Bean, 1883"
"OPHIDION SELENOPS"	869	164843	"MOONEYE CUSK-EEL"	"Robins and Boehlke, 1959"
"GYMNOTHORAX SAXICOLA"	870	161192	"HONEYCOMB MORAY"	"Jordan and Davis, 1891"
"PRIONOTUS STEARNSI"	871	166994	"SHORTWING SEAROBIN"	"Jordan and Swain, 1884"
"EUCINOSTOMUS ARGENTEUS"	872	169015	"SPOTFIN MOJARRA"	"Baird and Girard in Baird, 1855"
"BOTHUS ROBINSI"	873	172762	"TWOSPOT FLOUNDER"	"Topp and Hoff, 1972"
"GEMPYLUS SERPENS"	874	172360	"SNAKE MACKEREL"	"Cuvier, 1829"
"HARENGULA JAGUANA"	875	161755	"SCALED SARDINE"	"Poey, 1865"
"CUBICEPS PAUCIRADIATUS"	876	172546	"BIGEYE CIGARFISH"	"Guenther, 1872"
"SERIOLA FASCIATA"	877	168690	"LESSER AMBERJACK"	"(Bloch, 1797)"
"HAEMULON STRIATUM"	878	169073	"STRIPED GRUNT"	"(Linnaeus, 1758)"
"ECHIOPHIS PUNCTIFER"	879	161553	"SNAPPER EEL"	"(Kaup, 1860)"
"SPHOEROIDES PACHYGASTER"	880	173298	"BLUNTHEAD PUFFER"	"(Mueller and Troschel, 1848)"
"GOBIESOX STRUMOSUS"	881	164460	"SKILLETFISH"	"Cope, 1870"
"CITHARICHTHYS GYMNORHINUS"	882	172723	"ANGLEFIN WHIFF"	"Gutherz and Blackman, 1970"
"OGCOCEPHALUS RADIATUS"	883	164579	"POLKA-DOT BATFISH"	"(Mitchill, 1818)"
"TRACHYSCORPIA CRISTULATA"	885	166859	"ATLANTIC THORNYHEAD"	"(Goode and Bean, 1896)"
"GONOSTOMATIDAE"	887	162163	"LIGHTFISH UNCL"	NA
"APOGON AUROLINEATUS"	888	168201	"BRIDLE CARDINALFISH"	"(Mowbray, 1927)"
"ANCHOA CUBANA"	889	161840	"CUBAN ANCHOVY"	"(Poey, 1868)"
"ARIOMMA MELANUM"	891	172538	"BROWN DRIFTFISH"	"(Ginsburg, 1954)"
"GLOSSANODON PYGMAEUS"	892	162074	"PYGMY ARGENTINE"	"Cohen, 1958"
"SALMO SALAR"	894	161996	"ATLANTIC SALMON"	"Linnaeus, 1758"
"RYPTICUS SUBBIFRENATUS"	895	167991	"SPOTTED SOAPFISH"	"(Gill, 1861)"
"PARALEPIDIDAE "	896	162463	"BARRACUDINAS"	NA
"LOPHIUS GASTROPHYSUS"	897	164500	"BLACKFIN GOOSEFISH"	"Ribeiro, 1915"
"URASPIS SECUNDA"	898	168746	"COTTONMOUTH JACK"	"(Poey, 1860)"
"CYTTOPSIS ROSEA"	899	166280	"RED DORY"	"(Goode and Bean, 1896)"
"LOPHIIFORMES"	900	164495	"LOPHIIFORM UNCL"	NA
"GASTEROSTEUS WHEATLANDI"	901	166385	"BLACKSPOTTED STICKLEBACK"	"Putnam, 1867"
"PUNGITIUS PUNGITIUS"	902	166387	"NINESPINE STICKLEBACK"	"(Linnaeus, 1758)"
"PLEOTICUS ROBUSTUS"	910	95966	"ROYAL RED SHRIMP"	"(Smith, 1885)"
"PLESIOPENAEUS EDWARDSIANUS"	911	96071	"SCARLET GAMBA SHRIMP"	"(Johnson, 1868)"
"CALOCARIS TEMPLEMANI"	912	97707	NA	"Squires, 1965"
"PENAEUS AZTECUS"	913	95605	"BROWN SHRIMP"	"Ives, 1891"
"PENAEUS DUORARUM"	914	95608	"PINK SHRIMP"	"Burkenroad, 1939"
"PENAEUS SETIFERUS"	915	95610	"WHITE SHRIMP"	"(Linnaeus, 1767)"
"BREVIRAJA PLUTONIA"	924	160911	"LONGTAIL SKATE"	"Garman, 1881 (syn)"
"ALOPIAS VULPINUS"	925	159916	"THRESHER SHARK"	"(Bonnaterre, 1788)"
"ALOPIAS SUPERCILIOSUS"	926	159921	"BIGEYE THRESHER SHARK"	"(Lowe, 1841)"
"ISURUS PAUCUS"	927	159926	"LONGFIN MAKO"	"Guitart Manday, 1966"
"CARCHARHINUS ISODON"	928	160409	"FINETOOTH SHARK"	"(Muller and Henle, 1839)"
"CARCHARHINUS ALTIMUS"	929	160307	"BIGNOSE SHARK"	"(Springer, 1950)"
"CARCHARHINUS LONGIMANUS"	930	160330	"OCEANIC WHITETIP SHARK"	"(Poey, 1861)"
"CARCHARHINUS BREVIPINNA"	931	160401	"SPINNER SHARK"	"(Muller and Henle, 1839)"
"CARCHARHINUS POROSUS"	932	160340	"SMALLTAIL SHARK"	"(Ranzani, 1840)"
"CARCHARHINUS PEREZII"	933	160336	"REEF SHARK"	"(Poey, 1876)"
"CARCHARHINUS SIGNATUS"	934	160413	"NIGHT SHARK"	"(Poey, 1868)"
"MUSTELUS NORRISI"	935	160234	"FLORIDA SMOOTHHOUND"	"Springer, 1939"
"TRIAKIS SEMIFASCIATA"	936	160448	"LEOPARD SHARK"	"Girard, 1855"
"SPHYRNA MEDIA"	937	160524	"SCOOPHEAD SHARK"	"Springer, 1940"
"SARDA ORIENTALIS"	938	172410	"STRIPED BONITO"	"(Temminck and Schlegel, 1844)"
"ISTIOPHORUS PLATYPTERUS"	939	172488	"SAILFISH"	"(Shaw and Nodder, 1792)"
"MAKAIRA INDICA"	940	172492	"BLACK MARLIN"	"(Cuvier, 1832)"
"TETRAPTURUS ANGUSTIROSTRIS"	941	172503	"SHORTBILL SPEARFISH"	"Tanaka, 1915"
"TETRAPTURUS AUDAX"	942	172504	"STRIPED MARLIN"	"(Philippi, 1887)"
"TETRAPTURUS PFLUEGERI"	943	172502	"LONGBILL SPEARFISH"	"Robins and De Sylva, 1963"
"CARETTA CARETTA"	950	173830	"LOGGERHEAD SEATURTLE"	"(Linnaeus, 1758)"
"CHELONIA MYDAS"	951	173833	"GREEN SEATURTLE"	"(Linnaeus, 1758)"
"DERMOCHELYS CORIACEA"	952	173843	"LEATHERBACK SEATURTLE"	"(Vandelli, 1761)"
"ERETMOCHELYS IMBRICATA"	953	173836	"HAWKSBILL SEATURTLE"	"(Linnaeus, 1766)"
"LEPIDOCHELYS KEMPI"	954	173839	"KEMP'S RIDLEY SEATURTLE"	"(Garman, 1880) (syn)"
"TRASH SPECIES IN CATCH"	998	NA	"TRASH"	NA
